stamp,x_error_m,y_error_m,z_error_m,yaw_error_rad,position_error_m
1621218776.011931,-0.04083350850937391,-0.021003135426341395,0.029652882135484712,-4.821084384985259e-05,0.054660776923341446
1621218776.011931,-0.04083350850937391,-0.021003135426341395,0.029652882135484712,-4.821084384985259e-05,0.054660776923341446
1621218776.011931,-0.04083350850937391,-0.021003135426341395,0.000999999770190411,-4.821084384974511e-05,0.04592937093475948
1621218776.1581182,-0.04260529334042724,-0.0228373080456632,0.000999999770190411,-0.00014516731287027114,0.04835032222164344
1621218776.3040407,-0.043006876404401345,-0.024453100910930926,0.000999999770190411,-0.00018772642048080034,0.04948278045708431
1621218776.3547893,-0.04377586883463826,-0.024324273636526478,0.000999999770190411,-8.647915455937777e-05,0.05008988899680704
1621218776.5076783,-0.044677668369950435,-0.024519107757853903,-0.01400000062984029,-9.145882476238922e-05,0.05285149679859644
1621218776.557955,-0.04528808640911065,-0.02454981547786543,-0.01400000062984029,-0.00011185436518604585,0.05338262103186619
1621218776.7008765,-0.045211955431439334,-0.02408231541178496,-0.01400000062984029,-0.00016366587418340287,0.05310441457320361
1621218776.7553365,-0.0450322979511315,-0.02481690841732329,-0.01400000062984029,-0.00016435864889699828,0.053289650212670965
1621218776.902777,-0.04564231242680949,-0.024881688349778202,-0.01400000062984029,-0.00019622960003343507,0.053836039197154024
1621218776.958732,-0.04615211295606988,-0.023984784856398347,-0.01400000062984029,-0.00016459328404830654,0.05386360044179257
1621218777.114559,-0.04559880983117103,-0.02537167946046886,-0.01400000062984029,-0.0001848945056325578,0.05402752626485508
1621218777.1570637,-0.045886459632622285,-0.025283548125868884,-0.01400000062984029,-0.00018465458283492875,0.05422937396914085
1621218777.3110049,-0.04627178736994679,-0.0250802816514608,-0.01400000062984029,-0.00016381743686713957,0.05446190275561163
1621218777.357815,-0.04594012511225688,-0.02566128749497719,-0.01400000062984029,-0.00019394768046502073,0.054451784074217593
1621218777.5139053,-0.0491463227570371,-0.025052965361481182,-0.009000000399498923,-0.0001843780226086768,0.055892862881886975
1621218777.5561538,-0.04938521826652641,-0.025264201898536568,-0.009000000399498923,-0.00018531522924053372,0.05619768400916049
1621218777.6974251,-0.04917048372509841,-0.02551353229029412,-0.009000000399498923,-0.000216857027136307,0.05612198149458935
1621218777.7626987,-0.04881402789511128,-0.025500877021111062,-0.009000000399498923,-0.0002687416169421798,0.05580415804742074
1621218777.9108582,-0.04918306034914416,-0.02539982799461922,-0.009000000399498923,-0.00019674526228902106,0.05608141131118919
1621218777.958284,-0.04889002270010001,-0.025138716393446597,-0.009000000399498923,-0.0002306993515745472,0.05570627782142167
1621218778.1107488,-0.04940452186364139,-0.02568403303818156,-0.009000000399498923,-0.00022711315193196704,0.05640457730426142
1621218778.1683202,-0.04934349739998987,-0.026496848347947643,-0.009000000399498923,-0.000246724311958101,0.056726217177138855
1621218778.314163,-0.04904665227412023,-0.025840184885404526,-0.009000000399498923,-0.00023775047527502163,0.056163059580130896
1621218778.367557,-0.049268381932276936,-0.026954428517710176,-0.009000000399498923,-0.000237864970598022,0.05687631037727431
