ros_time,wall_time,event,from_source,to_source,reason,pose_jump_m,orientation_jump_deg
0.0,1783163397.687892,startup,none,none,fusion_node_started,0.0,0.0
1723528213.2128453,1783163410.6543295,bag_clock_started,none,none,waiting_for_localization_start_delay,0.0,0.0
1723528221.2158027,1783163418.6576953,switch,none,fast_livo2,initial_healthy_source,0.0,0.0
1723528420.7847009,1783163618.2277894,alignment_overlap_reset,fast_livo2,orbslam3,"fast_livo2_unhealthy:pose_rate_too_low,position_discontinuity",0.0,0.0
1723528421.0257225,1783163618.4763823,switch,fast_livo2,orbslam3,fast_livo2_unhealthy_fallback:pose_rate_too_low,1.0630965195904451e-14,0.0
1723528421.0357687,1783163618.4803672,output_gap,orbslam3,orbslam3,gap_sec=1.200,0.0,0.0
1723528421.0357687,1783163618.4872625,switch_applied,fast_livo2,orbslam3,fast_livo2_unhealthy_fallback:pose_rate_too_low,0.0,0.0
1723528432.5082242,1783163629.958042,output_gap,orbslam3,orbslam3,gap_sec=1.108,0.0,0.0
1723528433.967342,1783163631.4124873,failure,orbslam3,none,orb_unhealthy_no_lvisam_fallback,0.0,0.0
1723528434.8019295,1783163632.2448888,switch,none,fast_livo2,initial_healthy_source,56.786655448507524,0.0
1723528434.8019295,1783163632.2492342,output_gap,fast_livo2,fast_livo2,gap_sec=1.265,0.0,0.0
1723528434.8120117,1783163632.2557392,switch_applied,none,fast_livo2,initial_healthy_source,0.0,0.0
1723528443.7735348,1783163641.2163532,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:pose_rate_too_low,0.0,0.0
1723528443.7735348,1783163641.222928,switch,fast_livo2,orbslam3,fast_livo2_unhealthy_fallback:pose_rate_too_low,1.4988010832439613e-15,0.0
1723528443.8050141,1783163641.2592216,output_gap,orbslam3,orbslam3,gap_sec=1.365,0.0,0.0
1723528443.8255167,1783163641.2698073,switch_applied,fast_livo2,orbslam3,fast_livo2_unhealthy_fallback:pose_rate_too_low,0.0,0.0
1723528446.3745663,1783163643.8159919,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:pose_rate_too_low,0.0,0.0
1723528447.9754121,1783163645.417554,output_gap,orbslam3,orbslam3,gap_sec=1.038,0.0,0.0
1723528454.0055594,1783163651.4477062,switch,orbslam3,fast_livo2,primary_recovered_without_recovery_overlap,42.84252847990551,0.0
1723528454.4331832,1783163651.8758233,switch_applied,orbslam3,fast_livo2,primary_recovered_without_recovery_overlap,18.99481290748504,6.183529560385795
1723528459.172967,1783163656.614715,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:pose_rate_too_low,0.0,0.0
1723528459.172967,1783163656.6227522,switch,fast_livo2,orbslam3,fast_livo2_unhealthy_fallback:pose_rate_too_low,1.4283958749745402e-14,0.0
1723528459.1830409,1783163656.6320057,output_gap,orbslam3,orbslam3,gap_sec=1.300,0.0,0.0
1723528459.1938062,1783163656.6433043,switch_applied,fast_livo2,orbslam3,fast_livo2_unhealthy_fallback:pose_rate_too_low,0.0,0.0
1723528465.9853466,1783163663.4270997,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:pose_rate_too_low,0.0,0.0
1723528471.0168366,1783163668.4618719,switch,orbslam3,fast_livo2,primary_recovered_without_recovery_overlap,36.966429274322934,0.0
1723528471.7535634,1783163669.196447,switch_applied,orbslam3,fast_livo2,primary_recovered_without_recovery_overlap,28.044466986735245,65.6452766748334
