key,label,type,sensor,perturbation_type,start,end,samples,relative_position_rmse_m,relative_position_max_m,relative_x_rmse_m,relative_y_rmse_m,relative_z_rmse_m,relative_yaw_rmse_deg,dominant_components,absolute_position_rmse_m,absolute_x_rmse_m,absolute_y_rmse_m,absolute_z_rmse_m,absolute_yaw_rmse_deg
01_straight_road,01 straight_road,temporal_phase,,,1723528213.157124,1723528321.185588,536,1.0686170272749822,2.5759547275142647,0.2783049891788005,0.16364931711520064,1.0186793337394924,0.7477724126156555,z,1.0686170272749822,0.2783049891788005,0.16364931711520064,1.0186793337394924,0.7477724126156555
02_left_turn,02 left_turn,temporal_phase,,,1723528321.185588,1723528237.046052,0,,,,,,,,,,,,
03_straight_road,03 straight_road,temporal_phase,,,1723528237.046052,1723528244.525495,37,0.2306352001870178,0.47623351964307575,0.020030430925101383,0.06689038940247131,0.21981140372566269,0.48263375212063775,yaw,0.7701853772452627,0.2527546935067169,0.2026453872541614,0.698738454113815,0.4182469507123615
04_left_turn,04 left_turn,temporal_phase,,,1723528244.525495,1723528250.465728,29,0.3732522710164204,0.5259230794348583,0.24841103175538937,0.2720631378326333,0.05992383627405574,1.3831552571316605,yaw,1.007026579012944,0.12418510601016698,0.31618068326389365,0.9480033574911716,2.7476986256172196
05_straight_road,05 straight_road,temporal_phase,,,1723528250.465728,1723528263.265728,64,0.666689797896351,1.05657386448259,0.6325834533034782,0.10904395202343932,0.1800635380992866,0.43678833900983044,x,1.0503455451015504,0.6313148450490642,0.14748203578432886,0.8263875481009255,0.3096099335740264
06_trees_occlusion,06 trees_occlusion,temporal_phase,,,1723528263.265728,1723528273.585834,54,0.22522577614300876,0.5992674984661055,0.03271892186256628,0.06844955736352684,0.21206315212244964,0.15887647069200472,z,0.4978312862798631,0.10666755056863918,0.18082687279918339,0.45139745826534944,0.38721278208816323
07_straight_road,07 straight_road,temporal_phase,,,1723528273.585834,1723528280.882174,33,0.18778887866095317,0.36461234655435365,0.13838844617334908,0.040200194215610566,0.1204045069733332,0.177021615265117,yaw,0.4007260758314102,0.2503913893951387,0.2195495052948794,0.22289808140221132,0.2124172653484747
08_left_turn,08 left_turn,temporal_phase,,,1723528280.882174,1723528285.674305,24,0.24544899202840126,0.4122954808395161,0.18663804409264337,0.041051050882056996,0.15403330615977007,0.48490947567737125,yaw,0.3402534260029355,0.2917579723635422,0.1320267242936251,0.11497227292414795,0.8928687636484516
09_straight_road,09 straight_road,temporal_phase,,,1723528285.674305,1723528306.69381,104,0.8442136312351785,1.4995454351452078,0.05374668670927032,0.066465270603084,0.8398751791990998,0.3873267688856102,z,1.0696389504539072,0.10660389143192879,0.14082250036148827,1.0549559792008596,0.24346979622712148
10_trees_building_occlusion,10 trees+building_occlusion,temporal_phase,,,1723528306.69381,1723528317.083501,51,0.7476140038945657,2.623579353803968,0.030569932280082913,0.11707958816186226,0.7377564287049646,0.1295744813536679,z,2.038064282849988,0.1892574107879913,0.1407059113548909,2.0243738538126927,0.13848176504546175
11_u-turn,11 u-turn,temporal_phase,,,1723528317.083501,1723528334.696008,88,0.9114644376131689,1.8724167370078857,0.6956847035369086,0.5689356977569007,0.15199469107874236,4.729765712913426,yaw,2.62624813880162,0.5991446563441137,0.6167285172078907,2.481501743581056,4.650273125020622
12_speed_breaker,12 speed_breaker,temporal_phase,,,1723528334.696008,1723528336.569798,9,0.2538498487611448,0.33574641065966276,0.23844827173570846,0.0735678147804127,0.0465826582618972,1.2859643152056237,yaw,2.7617416379902187,0.4878638771452728,1.4789894273061084,2.2807446122489097,9.217131796692819
13_straight_road,13 straight_road,temporal_phase,,,1723528336.569798,1723528356.963645,101,4.438991643403541,7.9510889076499325,1.6944543028820012,3.9905930283865505,0.9532254232047125,9.847250746265866,yaw,5.951580414484895,1.9623829483626694,5.361819461072767,1.6796590906838755,3.8917929966778706
14_right_turn,14 right_turn,temporal_phase,,,1723528356.963645,1723528362.235453,26,2.8370014848208336,5.299863166653616,2.709442771249943,0.8301140759052739,0.13567577226969557,20.344940242890903,yaw,10.311338389557209,6.7175805276552625,7.781580361537955,0.8030058003214756,27.804240952863633
15_straight_road,15 straight_road,temporal_phase,,,1723528362.235453,1723528378.383415,80,7.853725480233091,11.060883557721365,7.022134794147393,3.442821260902197,0.7194502186856659,24.517122081834735,yaw,16.525078985318945,16.15213284961584,3.4725316552284062,0.3582789176429245,16.200977863758414
