stamp,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz,algorithm,run_id
1723528213.217013836,0.0,0.0,0.0,-0.009516206722285972,0.011213908240099506,0.0001067254130929265,0.9998918334906469,0.0,0.0,0.0,0.0,lvi_sam,3
1723528213.418127775,-0.0020759515464305878,0.001589179621078074,-0.0014906947035342455,-0.009495443812077628,0.011202609031027303,2.2454351646666808e-05,0.9998921629823447,-0.00016788576613180345,0.0,0.0,0.0,lvi_sam,3
1723528213.621150494,0.0015871645882725716,0.0022391241509467363,0.0004850296245422214,-0.009529543968901202,0.011191447549025292,-6.344261659134739e-05,0.9998919617981418,-0.00034025553031824524,0.0,0.0,0.0,lvi_sam,3
1723528213.823931932,-0.001495705102570355,0.0036911575589329004,0.0005985373281873763,-0.009523322923133145,0.011194280771233075,-0.00015106595456661047,0.9998919799546319,-0.0005154419341124594,0.0,0.0,0.0,lvi_sam,3
1723528214.025457859,8.46292678033933e-05,0.0026620752178132534,0.001700293505564332,-0.00954398604876118,0.011199451117730418,-3.117948669863579e-05,0.9998917359658506,-0.0002761963114608079,0.0,0.0,0.0,lvi_sam,3
1723528214.223885536,-0.003515802090987563,0.0053049977868795395,-0.0015779926907271147,-0.009483019097001555,0.011196042435666558,-0.00010166184023352734,0.9998923495294154,-0.00041575057548470784,0.0,0.0,0.0,lvi_sam,3
1723528214.429948807,-0.0019667737651616335,0.0007553023169748485,-0.0005510374321602285,-0.009505145193581817,0.011182838462874498,0.00011970683538765946,0.9998922852032792,2.6805581001099175e-05,0.0,0.0,0.0,lvi_sam,3
1723528214.630055189,-2.5601140805520117e-05,0.0019795959815382957,-0.0009657393675297499,-0.009491670535007041,0.011198586722780552,0.00022835333755509313,0.999892218041835,0.00024413211212959146,0.0,0.0,0.0,lvi_sam,3
1723528214.830327272,-0.003101591719314456,-0.0003572487330529839,0.0002972061338368803,-0.009515699929146726,0.011198358808396595,0.00016910046679491887,0.9998920039783741,0.00012507534120231861,0.0,0.0,0.0,lvi_sam,3
1723528215.033481359,-0.002666235901415348,-0.0026769316755235195,-0.0007432392449118197,-0.00950598776969192,0.011182030134258374,0.00012626432261228902,0.9998922854267454,3.9918944821693024e-05,0.0,0.0,0.0,lvi_sam,3
1723528213.217013836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lvi_sam,3
1723528213.217013836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lvi_sam,3
1723528213.217013836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lvi_sam,3
1723528213.217013836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lvi_sam,3
1723528216.040350914,0.01517309620976448,-0.0016451128758490086,-0.0017690439708530903,-0.00948844463305728,0.011175269624167353,0.0010136056094815406,0.9998920218558307,0.0018153756391257045,0.0,0.0,0.0,lvi_sam,3
