stamp,time_from_start_s,gt_stamp,match_dt_s,output_x_m,output_y_m,output_z_m,output_yaw_rad,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,x_error_m,y_error_m,z_error_m,yaw_error_rad,yaw_error_deg,position_error_m
1723528213.7334826,0.0,1723528213.8162684,-0.08278584480285645,0.0029092043673280004,0.0034105046438226818,0.0015509160437021572,-0.0013813907811115788,0.0,0.0,0.0,0.0,0.0029092043673280004,0.0034105046438226818,0.0015509160437021572,-0.0013813907811115788,-0.07914786161597358,0.004743453652248448
1723528213.7334826,0.0,1723528213.8162684,-0.08278584480285645,0.0029092043673280004,0.0034105046438226818,0.0,-0.0013813907811117687,0.0,0.0,0.0,0.0,0.0029092043673280004,0.0034105046438226818,0.0,-0.0013813907811117687,-0.07914786161598447,0.004482746030773591
1723528213.837025,0.10354232788085938,1723528213.8162684,0.02075648307800293,0.017098717386293254,-0.015375254024915706,0.0,-0.0024594480951973803,0.0,0.0,0.0,0.0,0.017098717386293254,-0.015375254024915706,0.0,-0.0024594480951973803,-0.1409159957862994,0.022994881443204135
1723528213.937043,0.20356035232543945,1723528213.896839,0.04020404815673828,0.01013348706783991,-0.007064702549408437,0.0,-0.0014570646821288058,0.009284999999999998,0.004751,-0.0049169999999999995,-0.0013358844,0.0008484870678399127,-0.011815702549408436,0.0049169999999999995,-0.0001211802821288058,-0.006943118726185167,0.012826053408605025
1723528214.0393875,0.3059048652648926,1723528214.0182934,0.021094083786010742,-0.0018049983067862131,-0.005753445009863711,0.0,-0.0022031618857916158,-0.004325000000000001,0.005633,-0.0017490000000000001,-0.0012780279,0.0025200016932137876,-0.01138644500986371,0.0017490000000000001,-0.0009251339857916157,-0.053006272869975446,0.011792393289593531
1723528214.1393507,0.4058680534362793,1723528214.105362,0.03398871421813965,0.005758577738326319,-0.008530424880131194,0.0,-0.00041002467464013037,-0.0023160000000000004,0.0037160000000000006,-0.000644,-0.0006410227999999999,0.00807457773832632,-0.012246424880131194,0.000644,0.00023099812535986957,0.013235217658554437,0.014682931042437383
1723528214.2397466,0.5062639713287354,1723528214.2128062,0.026940345764160156,-0.00046320934896561624,-0.006744734550583278,0.0,-0.0021499824214989967,-0.006347,0.01653,-0.002153,-0.00033061439999999994,0.005883790651034384,-0.02327473455058328,0.002153,-0.0018193680214989966,-0.10424210901295933,0.0241032709362301
1723528214.3388329,0.6053502559661865,1723528214.2956884,0.04314446449279785,-0.0046553004691142225,0.0022779389356110884,0.0,-0.003723903286364294,0.004173,0.011807000000000002,-0.0016250000000000001,-0.0005500508,-0.008828300469114222,-0.009529061064388913,0.0016250000000000001,-0.003173852486364294,-0.1818483522657767,0.013091314637644881
1723528214.4368017,0.7033190727233887,1723528214.3964171,0.040384531021118164,-0.003158785386232526,-0.0036303359362841172,0.0,-0.003036771827793938,-0.005819,0.00451,0.001546,-0.0009173305999999999,0.0026602146137674745,-0.008140335936284118,-0.001546,-0.0021194412277939383,-0.12143503727861797,0.008702409261052979
1723528214.5372775,0.8037948608398438,1723528214.4971173,0.040160179138183594,-0.0038011452473665215,0.000568502916496576,0.0,-0.0018769901681308099,-0.005005000000000001,0.008726000000000001,0.001153,0.000872361,0.0012038547526334793,-0.008157497083503424,-0.001153,-0.0027493511681308098,-0.1575262183332582,0.00832606953687063
