ros_time,wall_time,event,from_source,to_source,reason,pose_jump_m,orientation_jump_deg
0.0,1783166520.385158,startup,none,none,fusion_node_started,0.0,0.0
1723528213.2022164,1783166533.467497,bag_clock_started,none,none,waiting_for_localization_start_delay,0.0,0.0
1723528221.2060277,1783166541.4729826,switch,none,fast_livo2,initial_healthy_source,0.0,0.0
1723528471.3345416,1783166791.6008797,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:pose_rate_too_low,0.0,0.0
1723528482.0045147,1783166802.27079,output_gap,fast_livo2,fast_livo2,gap_sec=11.054,0.0,0.0
1723528483.5323756,1783166803.7987115,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:pose_rate_too_low,0.0,0.0
1723528485.5977693,1783166805.8632998,output_gap,fast_livo2,fast_livo2,gap_sec=2.528,0.0,0.0
1723528488.533678,1783166808.7988055,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:pose_rate_too_low,0.0,0.0
1723528491.1644516,1783166811.4315295,output_gap,fast_livo2,fast_livo2,gap_sec=3.059,0.0,0.0
1723528493.7393634,1783166814.0045683,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:pose_rate_too_low,0.0,0.0
1723528495.2125678,1783166815.4778256,output_gap,fast_livo2,fast_livo2,gap_sec=1.942,0.0,0.0
1723528498.163446,1783166818.4291625,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:pose_rate_too_low,0.0,0.0
