stamp,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz,algorithm,run_id
1723528213.736961365,0.002902178941426202,0.003412584376540926,0.001549479102810886,0.0010594495177683996,0.00014646829193151428,-0.0006920824766566036,0.9999991885674729,-0.0013838539802975827,0.0,0.0,0.0,fast_livo2,3
1723528213.736961365,0.002902178941426202,0.003412584376540926,0.0,0.0,0.0,-0.0006919269349373602,0.9999997606185297,-0.0013838539802977223,0.0,0.0,0.0,fast_livo2,3
1723528213.833494425,0.017115480090916357,-0.01538177618174488,0.0,0.0,0.0,-0.0012308271428191084,0.9999992425319854,-0.0024616549071798666,1.48881477996619e-17,-1.9630191651308186e-17,0.0,fast_livo2,3
1723528213.936862469,0.010135612976011994,-0.007055478755030537,0.0,0.0,0.0,-0.0007295612502065054,0.9999997338701557,-0.001459122629851706,-6.915997756309997e-13,8.208976711278695e-13,0.0,fast_livo2,3
1723528214.033058167,-0.0017841612098248726,-0.005744508706352152,0.0,0.0,0.0,-0.00110236350439814,0.9999993923971675,-0.0022047274553291807,-2.91702628713161e-12,1.0482868388037069e-12,0.0,fast_livo2,3
1723528214.135780573,0.005817912184413323,-0.008558910228105508,0.0,0.0,0.0,-0.0002082809732846263,0.9999999783095178,-0.0004165619495810624,-6.210116124274025e-13,2.0473599656172393e-13,0.0,fast_livo2,3
1723528214.238127947,-0.00041639743354855826,-0.006739801390708482,0.0,0.0,0.0,-0.0010767179363935075,0.9999994203390747,-0.002153436288874655,-2.96410196599017e-12,8.864596594070724e-13,0.0,fast_livo2,3
1723528214.338752031,-0.004588389726260952,0.0022032104261960482,0.0,0.0,0.0,-0.0018656190453892392,0.9999982597312744,-0.003731240255232304,-4.733361638298121e-12,4.905906078242744e-12,0.0,fast_livo2,3
1723528214.441539288,-0.004264190332557963,-0.0032240243847530678,0.0,0.0,0.0,-0.0015193024697658765,0.9999988458593366,-0.0030386061085247995,-4.292868767711774e-12,1.7273439080998931e-12,0.0,fast_livo2,3
1723528214.541423798,-0.0018703557198153419,-0.0014082969646994933,0.0,0.0,0.0,-0.0009109427666091083,0.999999585091552,-0.0018218857851901582,-2.6359475041072555e-12,2.6965669958469232e-12,0.0,fast_livo2,3
1723528214.640671015,-0.0010282317856386862,-0.005983864760415089,0.0,0.0,0.0,-0.0008097190386582855,0.9999996721774855,-0.0016194382542793486,-1.923094973874497e-12,-4.000396857916093e-13,0.0,fast_livo2,3
1723528214.745246649,-0.00037182468505461187,-0.005493262307299249,0.0,0.0,0.0,-0.0009239173144865268,0.9999995731883069,-0.001847834891865574,-1.3110742451817679e-12,-1.6594671264772145e-14,0.0,fast_livo2,3
