timestamp_s,x_m,y_m,z_m,qx,qy,qz,qw,frame_id,child_frame_id
1723528217.1509786,-0.0311727551,0.0196072066,-0.0748256702,-0.0155562079,-0.0035892954,-0.0005916547,0.9998723775,lvisam_aligned,base_link
1723528217.2515311,-0.0372181639,-0.0701579319,-0.0623096840,-0.0163209939,-0.0041701324,-0.0027128802,0.9998544271,lvisam_aligned,base_link
1723528217.3526697,-0.0364721304,-0.1040351839,-0.0581388514,-0.0164191038,-0.0042094758,-0.0030322090,0.9998517385,lvisam_aligned,base_link
1723528217.4535213,-0.0116582117,-0.0789443322,-0.0702437143,-0.0164993409,-0.0040701556,-0.0020376487,0.9998535161,lvisam_aligned,base_link
1723528217.5539796,0.0124236126,-0.0197750251,-0.0704062329,-0.0164898718,-0.0042207327,-0.0001988628,0.9998551045,lvisam_aligned,base_link
1723528217.6551595,0.0272770384,0.0256668027,-0.0705065448,-0.0167592700,-0.0040902543,0.0013979249,0.9998502100,lvisam_aligned,base_link
1723528217.756182,0.0313305771,0.0362634594,-0.0739568769,-0.0166836109,-0.0039962458,0.0022168189,0.9998503752,lvisam_aligned,base_link
1723528217.8564606,0.0301883455,0.0331164520,-0.0703911844,-0.0166136845,-0.0038266183,0.0023153035,0.9998519800,lvisam_aligned,base_link
1723528217.95786,0.0285567164,0.0190377341,-0.0701498109,-0.0166621807,-0.0039782060,0.0021620671,0.9998509244,lvisam_aligned,base_link
1723528218.0583549,0.0385216256,0.0047825652,-0.0741314668,-0.0162837554,-0.0036969952,0.0022391022,0.9998580689,lvisam_aligned,base_link
1723528218.1595416,0.0472961209,-0.0041458499,-0.0753183738,-0.0158188456,-0.0035337285,0.0022277750,0.9998661480,lvisam_aligned,base_link
1723528218.2600093,0.0517423966,-0.0085508250,-0.0764401331,-0.0156009404,-0.0037505684,0.0024021030,0.9998683782,lvisam_aligned,base_link
1723528218.3607688,0.0527290378,-0.0131468771,-0.0808864243,-0.0159700311,-0.0041967776,0.0027916423,0.9998597661,lvisam_aligned,base_link
1723528218.462072,0.0554852991,-0.0147667837,-0.0742299458,-0.0159409652,-0.0042393810,0.0032188418,0.9998587662,lvisam_aligned,base_link
1723528218.562923,0.0636498141,-0.0166098992,-0.0752019601,-0.0159382728,-0.0043502822,0.0038759772,0.9998560013,lvisam_aligned,base_link
1723528218.663135,0.0796001827,-0.0202286625,-0.0695485559,-0.0159685821,-0.0044792805,0.0045128012,0.9998522766,lvisam_aligned,base_link
1723528218.7643647,0.0974629767,-0.0159190062,-0.0662494861,-0.0161724062,-0.0045902373,0.0051737811,0.9998452955,lvisam_aligned,base_link
1723528218.864798,0.0984529332,-0.0225281698,-0.0619934473,-0.0157304014,-0.0048973922,0.0058687906,0.9998470520,lvisam_aligned,base_link
1723528218.966392,0.1076970721,-0.0184300764,-0.0669220663,-0.0153383810,-0.0049476015,0.0071196132,0.9998447712,lvisam_aligned,base_link
1723528219.0669222,0.1309509979,-0.0148489362,-0.0720797622,-0.0151065253,-0.0048388896,0.0085276726,0.9998378153,lvisam_aligned,base_link
1723528219.1681166,0.1622777518,-0.0129130872,-0.0690555354,-0.0152367298,-0.0045243754,0.0101813787,0.9998218399,lvisam_aligned,base_link
1723528219.2686014,0.2123773421,-0.0150742680,-0.0722719902,-0.0151337660,-0.0043513003,0.0121759516,0.9998018711,lvisam_aligned,base_link
1723528219.369512,0.2499755775,-0.0327252595,-0.0652956863,-0.0153734131,-0.0040992107,0.0141892549,0.9997727340,lvisam_aligned,base_link
1723528219.4707122,0.2830791249,-0.0530054010,-0.0587847783,-0.0157367004,-0.0038991474,0.0161218907,0.9997385846,lvisam_aligned,base_link
1723528219.5713966,0.3187401663,-0.0708860500,-0.0621673189,-0.0156648249,-0.0039806434,0.0182181195,0.9997033899,lvisam_aligned,base_link
1723528219.6721997,0.3692253009,-0.0687298328,-0.0679512605,-0.0154529932,-0.0038636668,0.0207633479,0.9996575216,lvisam_aligned,base_link
1723528219.7727928,0.4162933292,-0.0754678102,-0.0731378966,-0.0149760365,-0.0036421908,0.0235562987,0.9996036983,lvisam_aligned,base_link
1723528219.8741379,0.4816706916,-0.0644520351,-0.0677010029,-0.0149034918,-0.0034166274,0.0266123309,0.9995288872,lvisam_aligned,base_link
1723528219.9746342,0.5365737130,-0.0710967021,-0.0659478829,-0.0149623916,-0.0033956611,0.0294131529,0.9994495799,lvisam_aligned,base_link
1723528220.0758514,0.5889259176,-0.0890425738,-0.0707526320,-0.0147880607,-0.0036214275,0.0319433594,0.9993737140,lvisam_aligned,base_link
1723528220.1766307,0.6467672983,-0.1061299450,-0.0715256461,-0.0148057287,-0.0033131763,0.0343200139,0.9992957270,lvisam_aligned,base_link
1723528220.2772455,0.7121648904,-0.1155805255,-0.0700431814,-0.0145510610,-0.0031783104,0.0368078111,0.9992113640,lvisam_aligned,base_link
1723528220.3781896,0.7760368392,-0.1096393805,-0.0717231575,-0.0145366883,-0.0027248539,0.0394242686,0.9991131002,lvisam_aligned,base_link
1723528220.4790096,0.8353346534,-0.1093183420,-0.0762812151,-0.0145399996,-0.0024712670,0.0415244970,0.9990286269,lvisam_aligned,base_link
1723528220.5799246,0.8911183070,-0.1148191137,-0.0804094191,-0.0145607999,-0.0024860850,0.0435079237,0.9989438738,lvisam_aligned,base_link
