ros_time,wall_time,event,from_source,to_source,reason,pose_jump_m,orientation_jump_deg
0.0,1782385586.1848633,startup,none,none,fusion_node_started,0.0,0.0
1723528215.6708717,1782385608.0696075,switch,none,fast_livo2,initial_healthy_source,0.0,0.0
1723528223.9713433,1782385624.670283,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,1.3877787807814457e-17,0.0
1723528223.9713433,1782385624.6718683,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,0.0,0.0
1723528227.7050498,1782385632.1403022,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,7.771561172376096e-16,0.0
1723528227.9053602,1782385632.5384114,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.43747163255867433,0.39065901935039155
1723528232.1718645,1782385641.0712788,alignment_overlap_reset,fast_livo2,orbslam3,"fast_livo2_unhealthy:process_not_present,stale_pose",0.0,0.0
1723528232.1718645,1782385641.074303,switch,fast_livo2,orbslam3,"active_unhealthy:process_not_present,stale_pose",8.899114524108741e-16,0.0
1723528232.1718645,1782385641.0762212,switch_applied,fast_livo2,orbslam3,"active_unhealthy:process_not_present,stale_pose",0.0,0.0
1723528268.5717046,1782385713.8711398,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:stale_pose,0.0,0.0
1723528273.2702215,1782385723.2690053,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,3.5596458096434965e-15,0.0
1723528273.5052059,1782385723.7383227,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.385288313238961,0.3342294606934661
1723528280.1698472,1782385737.0676818,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,3.6637359812630166e-15,0.0
1723528280.1698472,1782385737.0699255,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,0.0,0.0
1723528283.767832,1782385744.2644217,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,1.1102230246251565e-16,0.0
1723528283.9014473,1782385744.5307975,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.25165821962704144,0.7228444631325966
1723528289.5705113,1782385755.8689797,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,7.944109290391274e-15,0.0
1723528289.5705113,1782385755.8710883,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,0.0,0.0
1723528293.1699722,1782385763.0711658,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,1.0087767680389479e-14,0.0
1723528293.3707056,1782385763.4706597,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.9509929176142297,1.3073742431400313
1723528306.371454,1782385789.4706442,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,1.0070646956748923e-14,0.0
1723528306.371454,1782385789.4740345,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,0.0,1.2074182697257333e-06
1723528309.801608,1782385796.3309696,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,7.105427357601002e-15,0.0
1723528310.0037322,1782385796.7354705,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.5451533739388379,1.016340676758839
1723528312.1687658,1782385801.066443,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,1.4210854715202004e-14,0.0
1723528312.1687658,1782385801.0683532,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,0.0,0.0
1723528315.6705728,1782385808.0688744,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,1.4210854715202004e-14,0.0
1723528315.8720553,1782385808.4718468,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.3532294454977642,0.42098927831125144
1723528345.9692447,1782385868.6662853,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,3.552713678800501e-15,0.0
1723528345.9692447,1782385868.6689851,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,0.0,1.2074182697257333e-06
1723528353.1007507,1782385882.9298651,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,1.4212589332811784e-14,0.0
1723528353.1007507,1782385882.9329953,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.0,0.0
1723528391.970657,1782385960.6700723,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:delayed_pose_timestamp,0.0,0.0
1723528391.970657,1782385960.678162,failure,fast_livo2,none,both_estimators_unhealthy,0.0,0.0
