stamp,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz,algorithm,run_id
1723528219.265612364,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,orb_slam3,0
1723528219.265612364,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,orb_slam3,0
1723528219.337066412,0.0007354269798254189,-1.6191399156754597e-05,0.0,0.0,0.0,0.0003429895567966468,0.9999999411790802,0.000685979127043268,-4.8510837173354796e-08,1.537563309631305e-07,0.0,orb_slam3,0
1723528219.407066345,0.004846983988417136,-0.0014032390332697781,0.0,0.0,0.0,0.0017692568394072395,0.9999984348638933,0.003538515524900809,3.622366470812525e-08,-1.156982277599969e-08,0.0,orb_slam3,0
1723528219.467063904,0.007527282342289425,-0.001779154789596457,0.0,0.0,0.0,0.0029794786060429977,0.9999955613437672,0.005958966028689173,1.4916134003643598e-07,2.3644971695588584e-07,0.0,orb_slam3,0
1723528219.537063122,0.01091193155492763,-0.0033157804189296322,0.0,0.0,0.0,0.004899927931072245,0.9999879952810785,0.00979989507717116,6.008396275829062e-07,2.4004091238580847e-07,0.0,orb_slam3,0
1723528219.567063093,0.014412789835792706,-0.005493065502480305,0.0,0.0,0.0,0.007116697957218371,0.99997467598444,0.01423351606456702,1.0905876063641547e-07,-5.372806463924618e-08,0.0,orb_slam3,0
1723528219.637060642,0.016238288487319865,-0.006567677069546156,0.0,0.0,0.0,0.008806118380189685,0.9999612253878017,0.017612464399793467,4.3885362326649806e-07,-2.3016988761677823e-07,0.0,orb_slam3,0
1723528219.707060814,0.020436909836115368,-0.006340247393953103,0.0,0.0,0.0,0.01047194781489604,0.9999451676511878,0.020944278439185116,1.5444805907743851e-06,-4.684024307459044e-07,0.0,orb_slam3,0
1723528219.807060003,0.024182593629243535,-0.006836754300403823,0.0,0.0,0.0,0.012457384589824937,0.9999224037740034,0.024915413630339334,5.307696154066674e-06,-1.0758303277869422e-07,0.0,orb_slam3,0
1723528219.867059231,0.02960774723859365,-0.00483186635122989,0.0,0.0,0.0,0.014038832892302339,0.9999014507295316,0.02807858816545794,2.112879812182136e-06,-7.238025170407639e-08,0.0,orb_slam3,0
1723528219.937058449,0.036093656857596024,-0.003627093731823934,0.0,0.0,0.0,0.015822883190727718,0.9998748103475418,0.031647087021752895,4.590252682827042e-06,1.1607693944695295e-07,0.0,orb_slam3,0
1723528220.007058382,0.04113019404992275,-0.0028377479612164973,0.0,0.0,0.0,0.017456350560509794,0.9998476263036826,0.034914474488211944,9.25175487552844e-06,4.4653332977836215e-07,0.0,orb_slam3,0
1723528220.067057610,0.04618744180640653,-0.003676205571269548,0.0,0.0,0.0,0.019547698604493766,0.9998089254848987,0.03909788744400488,6.4508080251665605e-06,-1.4013198070681165e-08,0.0,orb_slam3,0
1723528220.137056828,0.05151155604460546,-0.002515906962791348,0.0,0.0,0.0,0.021454007899472115,0.9997698362848568,0.04291130805815824,5.683132848905167e-06,2.0839523772748144e-07,0.0,orb_slam3,0
1723528220.197057009,0.05598925401913972,0.0001990304298166082,0.0,0.0,0.0,0.02274385101934769,0.9997413251640694,0.04549162461918809,8.773061291118855e-08,1.0397432002723771e-08,0.0,orb_slam3,0
1723528220.267055988,0.056605195138567356,0.0022297241316118124,0.0,0.0,0.0,0.023532137019942976,0.9997230809215493,0.04706861885295277,4.863680050851779e-06,9.865164140040228e-07,0.0,orb_slam3,0
1723528220.367055178,0.05696205110097039,0.004354019693786494,0.0,0.0,0.0,0.024213876898075214,0.999706801099985,0.04843248733935069,1.9974984679860174e-05,9.769098487566024e-06,0.0,orb_slam3,0
1723528220.437054396,0.06111110865490739,0.00500680626153165,0.0,0.0,0.0,0.02549114449515059,0.9996750479792558,0.05098781197413294,2.000444184592059e-05,7.677221230761822e-06,0.0,orb_slam3,0
1723528220.497054338,0.06566868278245194,0.005185022255241543,0.0,0.0,0.0,0.026879356276846542,0.9996386848287447,0.053765188102399275,1.639145078390027e-05,3.6117809933316717e-06,0.0,orb_slam3,0
1723528220.567053556,0.07126324489248159,0.006195052425659134,0.0,0.0,0.0,0.028365513311041878,0.9995976178716119,0.056738637030760763,2.379271682359249e-05,6.112948787304802e-06,0.0,orb_slam3,0
1723528220.637053013,0.0734209807849297,0.007011979153124386,0.0,0.0,0.0,0.029411129583661436,0.9995673991565617,0.058830742821665005,1.594027762973386e-05,3.3364687141387495e-06,0.0,orb_slam3,0
1723528220.707052946,0.07889331710051542,0.00841291918297768,0.0,0.0,0.0,0.030786544824682096,0.9995259819823384,0.061582820412377615,1.406459922911989e-05,2.910435158018936e-06,0.0,orb_slam3,0
1723528220.767052174,0.08290855896820615,0.008790613922956055,0.0,0.0,0.0,0.032087202246566415,0.9994850731511642,0.06418542180370368,1.466126763911195e-05,2.7972996431342327e-06,0.0,orb_slam3,0
1723528220.809289694,0.08713933918701976,0.008456501439855154,0.0,0.0,0.0,0.033414041521120895,0.9994415950065441,0.06684052486640812,2.4416715096250958e-11,-1.1613160819949481e-12,0.0,orb_slam3,0
1723528220.851562500,0.09126812909591865,0.008957954143741757,0.0,0.0,0.0,0.03444700366744532,0.9994065258633921,0.06890763950825596,2.318119352345014e-11,1.007476532995699e-12,0.0,orb_slam3,0
1723528220.907050610,0.09072697797596224,0.009314052046617121,0.0,0.0,0.0,0.03512122419873741,0.9993830594975993,0.0702568971002684,1.0675024857166247e-05,1.612367452321973e-06,0.0,orb_slam3,0
1723528220.945943594,0.09485387644142768,0.009591217488241984,0.0,0.0,0.0,0.035913724780976444,0.9993548941053705,0.07184289898566831,2.754984903946241e-11,3.587564979477533e-13,0.0,orb_slam3,0
1723528221.008050203,0.09698936027768539,0.009624974855667452,0.0,0.0,0.0,0.03666552642178703,0.9993275935208701,0.07334749335722668,1.8379034838412084e-05,2.386826691879902e-06,0.0,orb_slam3,0
1723528221.067048550,0.09994806156736194,0.010165481550830921,0.0,0.0,0.0,0.03726929396705805,0.9993052585307439,0.07455585441520673,1.0265571944753647e-05,1.3143721451390304e-06,0.0,orb_slam3,0
1723528221.107048512,0.10198940637813918,0.009890543301711576,0.0,0.0,0.0,0.03789624632572298,0.9992816792648708,0.07581064564043327,1.140270612857713e-06,1.2322638926722614e-07,0.0,orb_slam3,0
1723528221.167048216,0.10593205389131206,0.010265727539438642,0.0,0.0,0.0,0.03853142680662957,0.999257388838454,0.07708193519320172,1.1437916948381769e-05,1.1388289962887056e-06,0.0,orb_slam3,0
1723528221.237046480,0.1081324619023791,0.01073897695183593,0.0,0.0,0.0,0.03909042203398849,0.9992356773580519,0.07820076862272128,2.0408653591893394e-05,2.08265600037333e-06,0.0,orb_slam3,0
1723528221.307046413,0.1133429546473006,0.0116008721542527,0.0,0.0,0.0,0.039678964409300306,0.9992124797976683,0.07937876737378159,2.7897771252631086e-05,2.8637877796652015e-06,0.0,orb_slam3,0
1723528221.337046146,0.11757909195969182,0.011320989389294468,0.0,0.0,0.0,0.0403570941817426,0.9991853206233596,0.08073611423689497,3.617991594822873e-06,2.878281888920749e-07,0.0,orb_slam3,0
1723528221.397046089,0.12171293220045865,0.011832441954513752,0.0,0.0,0.0,0.04098274342615379,0.9991598544483591,0.08198844888212742,1.0868807217451924e-05,8.259380352946176e-07,0.0,orb_slam3,0
1723528221.467045784,0.12249894903600551,0.01242938785216052,0.0,0.0,0.0,0.041342273388348914,0.9991450427395829,0.08270811875597239,2.5218747704065883e-05,2.216683764988573e-06,0.0,orb_slam3,0
1723528221.508166552,0.12735785414731735,0.012373440676145285,0.0,0.0,0.0,0.04187302314185207,0.9991229403496659,0.0837705383023275,3.57915853530642e-11,-3.0229114910203197e-12,0.0,orb_slam3,0
1723528221.567045689,0.1318987018637458,0.013145969780050643,0.0,0.0,0.0,0.04244072935056794,0.9990989863332821,0.08490696101065787,1.571156220602289e-05,1.1452860646392593e-06,0.0,orb_slam3,0
1723528221.607045650,0.13445166136720335,0.013148775385692098,0.0,0.0,0.0,0.04290114182896083,0.9990793221910718,0.08582862544526959,4.387757469621055e-06,2.769079130875971e-07,0.0,orb_slam3,0
1723528221.667045355,0.13995798550225558,0.013528318165128965,0.0,0.0,0.0,0.04356200342750972,0.9990507253675269,0.08715158553039393,5.880951914540386e-06,3.1682831845197736e-07,0.0,orb_slam3,0
1723528221.737045050,0.1428191199116971,0.014099622186390095,0.0,0.0,0.0,0.04411701651729066,0.9990263704495558,0.08826267994545577,3.640268492323227e-05,2.09275142435808e-06,0.0,orb_slam3,0
1723528221.807045221,0.14868677019241444,0.014877194085177355,0.0,0.0,0.0,0.04477207713729058,0.998997227778342,0.08957409708209108,2.8022131988436738e-05,1.5827936144646001e-06,0.0,orb_slam3,0
1723528221.867044926,0.15153048826879395,0.015866403263237027,0.0,0.0,0.0,0.0452038092420617,0.998977785353612,0.09043843641609461,3.7617961165036514e-05,2.5616546007390274e-06,0.0,orb_slam3,0
1723528221.900514841,0.15515871211441418,0.01566333574492908,0.0,0.0,0.0,0.0457767334387499,0.9989516958670612,0.09158547225768832,2.961792043096977e-11,-2.356939687149173e-12,0.0,orb_slam3,0
1723528221.967044592,0.16057703057346948,0.016662366791313575,0.0,0.0,0.0,0.04636252804077387,0.9989246798401111,0.09275830675808018,2.9944462354068358e-05,1.766140578666799e-06,0.0,orb_slam3,0
1723528222.010456085,0.16446403644943222,0.01658525662551357,0.0,0.0,0.0,0.04685422508021879,0.998901737706033,0.09374277072391558,3.064878936038659e-11,-1.9209911120787653e-12,0.0,orb_slam3,0
1723528222.067044258,0.1704840447082788,0.01741531006922563,0.0,0.0,0.0,0.047295405857393114,0.9988809461516345,0.09462611158689782,1.1280238628927811e-05,5.187581370136379e-07,0.0,orb_slam3,0
