timestamp,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z
1723528213.816268206,0.010519021,-0.005237483,0.000161446,-0.000188868,0.000580771,-0.000108552,0.999999808,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528213.896838903,0.019804418,-0.000485858,-0.004756233,0.000179898,0.000833478,-0.000776753,0.999999335,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528214.018293142,0.006193743,0.000396225,-0.001587960,0.000097635,0.000508339,-0.000747725,0.999999586,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528214.105361938,0.008203251,-0.001520725,-0.000483005,0.000225552,0.000692410,-0.000429329,0.999999643,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528214.212806225,0.004171645,0.011293485,-0.001991643,0.000130824,0.000659274,-0.000274055,0.999999737,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528214.295688152,0.014692118,0.006569907,-0.001463986,0.000175314,0.000719717,-0.000383813,0.999999652,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528214.396417141,0.004700112,-0.000726860,0.001707486,0.000110703,0.000662441,-0.000567400,0.999999613,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528214.497117281,0.005513978,0.003489050,0.001313947,0.000172391,0.000849236,0.000327372,0.999999571,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528214.625313044,0.001916436,-0.002866230,0.001013310,0.000415147,0.000858505,-0.000292158,0.999999503,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528214.685640812,0.001259258,-0.003171741,-0.000410325,0.000324803,0.000814113,-0.000286244,0.999999575,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528214.791453362,0.006327719,-0.005452488,0.003351312,0.000145669,0.000841216,-0.000404498,0.999999554,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528214.880779028,0.008414224,-0.000026290,0.004080287,0.000095740,0.000774761,-0.000247347,0.999999665,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528214.993723631,0.003555724,-0.002069626,0.000798694,0.000239028,0.000726130,-0.000633174,0.999999507,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528215.117402792,0.001191438,-0.003370835,-0.001280425,0.000254354,0.000702478,-0.000405307,0.999999639,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528215.222347021,0.005299522,0.002287399,-0.002929837,0.000208537,0.000668851,-0.000388921,0.999999679,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528215.308077574,0.001755547,-0.000885168,0.001851916,0.000181019,0.000732328,-0.000425409,0.999999625,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528215.390465736,-0.000229721,-0.009591353,0.002452135,0.000181346,0.000743292,-0.000457265,0.999999603,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528215.517339706,0.006479608,-0.005403280,0.000663553,0.000164947,0.000719288,-0.000551200,0.999999576,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528215.612610817,0.005210285,-0.007443697,0.000698080,0.000199439,0.000704195,-0.000604886,0.999999549,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528215.699939251,0.005469444,-0.002272044,-0.000638610,0.000231877,0.000708196,-0.000391813,0.999999646,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528215.823946238,0.006673963,-0.002615625,-0.002528066,0.000247056,0.000702372,-0.000572462,0.999999559,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528215.906829596,0.011756183,0.000229872,0.000498692,0.000155491,0.000689530,0.000074633,0.999999747,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528216.016424894,0.009872548,-0.000199201,-0.001095635,0.000178053,0.000639874,-0.000458464,0.999999674,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528216.117098093,0.012779817,-0.001657489,-0.001575042,0.000202378,0.000685835,0.000248081,0.999999714,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528216.222262621,0.015500952,-0.001976869,-0.003691945,0.000270226,0.000683044,0.000261599,0.999999696,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528216.315079927,0.015159095,-0.003245628,-0.002370430,0.000248492,0.000744074,0.000577633,0.999999525,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
