timestamp_s,x_m,y_m,z_m,qx,qy,qz,qw,active_source,state,blend_alpha,switch_count,lidar_ok,imu_ok,camera_ok,fast_livo2_healthy,lvisam_healthy,orbslam3_healthy
1723528220.9068654,1.181312986542192,-0.13003550137083392,-0.033103428296491544,5.348236481634776e-05,-0.001058181908169173,0.05309961342892333,0.9985886582794663,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528221.0069096,1.2676203489026174,-0.12840296519943198,-0.03337999105941181,-5.044915897006008e-05,-0.0010385479758756404,0.05408935202206974,0.9985355581404284,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528221.106938,1.3543221451580891,-0.14514356731590428,-0.02461826941993412,1.3692394202800116e-05,-0.0009046563809823016,0.05494100474695417,0.9984891924336217,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528221.2402985,1.465274566173888,-0.1604050606334617,-0.021031710369209557,-2.427622088165698e-06,-0.0008871284379507499,0.05674424286353743,0.9983883532469142,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528221.340319,1.527737783523374,-0.1725193133007895,-0.0285380456537584,0.0001539687821432085,-0.0011437524810717933,0.05745123564315359,0.9983476466877412,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528221.4736779,1.6110516447773904,-0.18775278300079634,-0.03942110680107551,9.117920956451063e-06,-0.0015207707813724798,0.05869309051853449,0.9982749161921666,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528221.573696,1.6590922097952834,-0.17800738155350979,-0.028100883870851804,3.8152420540779605e-05,-0.0011768034341139706,0.05841647831241003,0.998291605063193,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528221.6737144,1.7276885057191718,-0.18540084875640667,-0.021939159444040048,0.00017147699963029095,-0.001035333940315687,0.059676376393218385,0.9982172252470128,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528221.8070707,1.9004018979066784,-0.1979362674993727,-0.023298264837612923,-5.404513552869765e-05,-0.001296100637184284,0.06220198253929196,0.998062738794733,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528221.9070868,2.060071225889844,-0.21233681588065578,-0.029715698248152792,9.927201578529918e-05,-0.0013265854012417925,0.06359260992798478,0.9979750549381419,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528222.0071034,2.198400714998272,-0.2232033371394672,-0.02997815701126393,0.00014153446975840008,-0.001519941745691725,0.0645806297672366,0.9979113247197623,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528222.1404705,2.3645459104051847,-0.240450800449245,-0.028535345831825126,0.00012091768462199081,-0.0019069751271364684,0.06584742158444175,0.9978278738817927,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528222.2404985,2.444608846484138,-0.24627577927386532,-0.02608245831989263,-4.3292210001849845e-05,-0.0018972450886412162,0.06589891746614271,0.9978244992300243,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528222.3738694,2.5539834658388036,-0.2455608217906997,-0.027843948772690846,-0.0007023692094064115,-0.0021640969889263834,0.06559596029332802,0.997843671801807,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528222.4738977,2.6132327606867185,-0.24288989113870335,-0.034058780270751814,-0.00022026530939979718,-0.0017577677582700797,0.0651758355236628,0.9978722223809489,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528222.6072679,2.7500410924764225,-0.2584647735248775,-0.040088001251952866,4.9419837349579725e-05,-0.0012670838858428147,0.06539701556859022,0.9978585182333353,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
1723528222.7406373,2.988888955414366,-0.2859052706463271,-0.05227831729144083,0.0001300734987213647,-0.0011579262619439404,0.0648099297356134,0.9978969462300813,fast_livo2,PRIMARY_FAST_LIVO2,1.0,1,True,True,True,True,,True
