stamp,time_from_start_s,x_error_m,y_error_m,z_error_m,yaw_error_rad,yaw_error_deg,position_error_m,relative_x_error_m,relative_y_error_m,relative_z_error_m,relative_yaw_error_rad,relative_yaw_error_deg,relative_position_error_m
1723528250.8368275,0.0,-62.399857371416616,-0.7244194426713229,0.44076600000000005,-1.6711110922080454,-95.74761268101835,62.40561880286752,0.0,0.0,0.0,0.0,0.0,0.0
1723528251.3368266,0.4999990463256836,-62.019026945675336,-1.6451808066711067,0.43391,-1.6493195040884236,-94.4990466528766,62.04236134338491,0.38083042574128,-0.9207613639997838,-0.006856000000000029,0.021791588119621785,1.248566028141754,0.9964337947606088
1723528251.8368225,0.9999949932098389,-61.75930692877977,-2.5456893408099717,0.42055800000000004,-1.6138915665559295,-92.46917535541156,61.81318140635137,0.6405504426368438,-1.8212698981386488,-0.020208000000000004,0.057219525652115966,3.2784373256067942,1.9307349053384362
1723528252.336818,1.499990463256836,-61.250970844420905,-3.5480689003599117,0.398181,-1.5670354335905572,-89.78451669219193,61.35494088021405,1.1488865269957103,-2.823649457688589,-0.04258500000000004,0.10407565861748824,5.963095988826432,3.0487292424947032
1723528252.836816,1.9999885559082031,-60.84069854397755,-4.547200060221282,0.390037,-1.5142189277655103,-86.75835381978861,61.0116362390667,1.559158827439063,-3.8227806175499595,-0.050729000000000024,0.15689216444253518,8.98925886122975,4.128825659983454
1723528253.3368146,2.4999871253967285,-60.16550535247193,-5.6635253445994564,0.377352,-1.45784547220123,-83.52839273938706,60.43265630583479,2.2343520189446835,-4.939105901928134,-0.06341400000000003,0.2132656200068155,12.2192199416313,5.421357522836831
1723528253.8368092,2.999981641769409,-59.39494174825127,-6.859141497293066,0.370964,-1.3997887892231624,-80.20198983221478,59.79083994766544,3.0049156231653456,-6.134722054621744,-0.06980200000000003,0.2713223029848831,15.545622848803578,6.831486288430184
1723528254.336807,3.4999794960021973,-58.54080552846015,-8.10606353590802,0.3462,-1.3463389577215636,-77.13954007148777,59.10037252343819,3.859051842956468,-7.381644093236698,-0.09456600000000004,0.3247721344864818,18.60807260953058,8.330059626088996
1723528254.8368034,3.9999759197235107,-57.859868370531956,-9.35424421826837,0.33147400000000005,-1.2880663948079107,-73.8007681551249,58.61208175592271,4.53998900088466,-8.629824775597047,-0.109292,0.3830446974001347,21.946844525893454,9.751785504558963
1723528255.376798,4.539970397949219,-56.894168721966174,-10.782091998033774,0.33210700000000004,-1.2324669074684158,-70.61515218748079,57.90777354964588,5.505688649450441,-10.057672555362451,-0.108659,0.43864418473962963,25.132460493537568,11.466524822885942
