stamp,time_from_start_s,x_error_m,y_error_m,z_error_m,yaw_error_rad,yaw_error_deg,position_error_m,relative_x_error_m,relative_y_error_m,relative_z_error_m,relative_yaw_error_rad,relative_yaw_error_deg,relative_position_error_m
1723528307.006606,0.0,96.80175564105767,-43.12440526641571,-0.871916,0.7326331547957802,41.97678770115293,105.97666942437925,0.0,0.0,0.0,0.0,0.0,0.0
1723528307.5076053,0.5009992122650146,98.67490563442644,-41.292647291350264,-0.8752340000000001,1.4012579303391233,80.28616541766847,106.97002270190268,1.87314999336877,1.8317579750654431,-0.003318000000000043,0.6686247755433432,38.30937771651555,2.6199311414610262
1723528308.0066051,0.9999990463256836,100.61845420167342,-39.06372958466895,-0.892366,1.9935555304865094,114.2223181218409,107.93907824359233,3.816698560615748,4.060675681746758,-0.020449999999999968,1.260922375690729,72.24553042068797,5.572853227695471
1723528308.5066042,1.4999980926513672,102.55274793509919,-36.74837290244156,-0.916775,2.510537899494143,143.84322594865324,108.94195471175243,5.750992294041524,6.376032363974147,-0.04485899999999998,1.777904744698363,101.86643824750031,8.586600806049606
1723528309.0066035,1.9999973773956299,104.44381246840814,-34.40529133386171,-0.899266,2.966862054861162,169.9886741410555,109.9683714257998,7.642056827350473,8.719113932553995,-0.027349999999999985,2.234228900065382,128.01188643990258,11.594167859049271
1723528309.506605,2.4999988079071045,106.38503152765381,-31.68148349021603,-0.9337500000000001,-2.910631464777614,-166.766898649738,111.00614045332459,9.583275886596141,11.442921776199675,-0.061834000000000056,2.6399206876061925,151.25631364910907,14.925932431121206
1723528310.0366058,3.0299997329711914,108.36695413956595,-29.089955344663466,-0.9145500000000001,-2.537643796946832,-145.39627947260675,112.20721301745179,11.56519849850828,14.034449921752241,-0.04263400000000006,3.0129083554369744,172.62693282624036,18.18574767706914
1723528310.536607,3.530000925064087,110.22035357572469,-26.647450818930473,-0.941293,-2.273656789538503,-130.2709381018207,113.3997310844119,13.41859793466702,16.476954447485234,-0.06937700000000002,-3.006289944334283,-172.2477258029736,21.249790859321003
1723528311.1066084,4.100002288818359,112.2546482364007,-23.807982354339682,-0.955446,-2.0684631063375716,-118.51420607166285,114.7555617454837,15.45289259534303,19.316422912076025,-0.08353,-2.8010962611333516,-160.49099377281578,24.73707866629128
1723528311.5766091,4.570003032684326,113.81886758528393,-21.84897495861231,-0.975592,-1.9912037851838564,-114.08757304150917,115.90109621953076,17.017111944226258,21.275430307803397,-0.10367599999999999,-2.7238369399796367,-156.0643607426621,27.244022875073043
1723528312.036609,5.03000283241272,115.35957521338366,-19.70608312869397,-0.9646290000000001,-1.9783975179467206,-113.35382797750464,117.0345752963412,18.557819572325997,23.418322137721738,-0.09271300000000005,-2.711030672742501,-155.33061567865758,29.88007822488895
1723528312.5366096,5.530003547668457,116.89869979253162,-17.628337836227168,-1.009096,-2.0196050105907575,-115.71484339032433,118.22471223390566,20.09694415147395,25.49606743018854,-0.13717999999999997,-2.7522381653865375,-157.69163109147726,32.4646798380114
1723528313.0366073,6.030001163482666,118.38612495459518,-15.869890766278772,-1.008676,-2.0759930105529274,-118.94563780334052,119.44934257655677,21.584369313537508,27.254514500136935,-0.13675999999999988,-2.8086261653487075,-160.92242550449345,34.76653941074599
1723528313.5766058,6.569999694824219,119.90327001292002,-13.62586042103436,-1.0161959999999999,-2.1687909911696406,-124.262570440015,120.67928938436425,23.10151437186235,29.498544845381346,-0.14427999999999985,-2.9014241459654206,-166.2393581411679,37.46818558439596
1723528314.0766068,7.070000648498535,121.27536446348465,-11.77551998160802,-1.017062,-2.279145226371121,-130.58540236845386,121.84995408985647,24.473608822426982,31.348885284807686,-0.1451459999999999,-3.011778381166901,-172.56219006960677,39.77098445795029
1723528314.5766068,7.570000648498535,122.55452790992746,-9.968619196752819,-1.020463,-2.402118570134505,-137.6312559587072,122.96351908045501,25.75277226886979,33.15578606966289,-0.14854699999999987,-3.134751724930285,-179.6080436598601,41.982537984747054
1723528315.176604,8.169997930526733,123.97502140030312,-7.824799150933721,-1.033993,-2.5405450251863724,-145.56250760613656,124.22601400061953,27.173265759245453,35.299606115481986,-0.16207699999999992,3.0100071271974342,172.46070469271052,44.547444740239406
1723528315.6066048,8.599998712539673,124.91184726965767,-6.41081711169312,-1.051057,-2.6280985270204575,-150.57895374282057,125.0806655130005,28.110091628600003,36.713588154722586,-0.17914099999999988,2.922453625363349,167.44425855602654,46.2395598817804
1723528316.1066048,9.099998712539673,125.90726947381324,-4.720165328871651,-1.036724,-2.7388758771465107,-156.92602837068642,125.99998120529813,29.105513832755577,38.404239937544055,-0.16480799999999995,2.811676275237296,161.09718392816066,48.18758909020085
1723528316.6066031,9.59999704360962,126.70941208594853,-3.1494850598234905,-1.052084,-2.868847780433281,-164.37286988430085,126.75291415999801,29.90765644489086,39.974920206592216,-0.180168,2.681704371950526,153.65034241454623,49.924889785128826
1723528317.0766027,10.06999659538269,127.21518197156895,-1.727049464654911,-1.066384,-3.0038847563901627,-172.10991868483978,127.23137348448387,30.413426330511285,41.397355801760796,-0.19446799999999997,2.546667395993644,145.91329361400733,51.368817256600714
