stamp,time_from_start_s,x_error_m,y_error_m,z_error_m,yaw_error_rad,yaw_error_deg,position_error_m,relative_x_error_m,relative_y_error_m,relative_z_error_m,relative_yaw_error_rad,relative_yaw_error_deg,relative_position_error_m
1723528263.506749,0.0,-35.58462895990679,-36.33468864438001,0.239447,-0.7346375534000062,-42.091631281637,50.85796645525736,0.0,0.0,0.0,0.0,0.0,0.0
1723528264.0067449,0.4999959468841553,-34.242052642332574,-37.985400846706874,0.237806,-0.7188640953500391,-41.18787870704723,51.141620998350355,1.3425763175742134,-1.650712202326865,-0.0016410000000000036,0.015773458049967104,0.9037525745897687,2.1277604743727485
1723528264.506741,0.9999921321868896,-32.88411857699825,-39.62035106382485,0.205332,-0.6917866075965808,-39.63645293895689,51.48960705071492,2.70051038290854,-3.28566241944484,-0.034115000000000006,0.04285094580342541,2.4551783426801026,4.253175013560334
1723528265.0367358,1.52998685836792,-31.552935362468773,-41.28470578481927,0.201849,-0.6658967745239351,-38.15307477159608,51.962057356748524,4.031693597438014,-4.9500171404392646,-0.03759799999999999,0.0687407788760711,3.9385565100409172,6.384249099453215
1723528265.536732,2.0299830436706543,-30.265873359859278,-42.82285669911755,0.106246,-0.6546937914362252,-37.51119112271386,52.438835173187364,5.31875560004751,-6.488168054737542,-0.133201,0.07994376196378106,4.580440158923136,8.39066316484904
1723528266.0367281,2.5299792289733887,-29.235804315250668,-44.27784380745399,0.11757,-0.6368061430521783,-36.48630436489397,53.059151226737704,6.348824644656119,-7.943155163073982,-0.121877,0.09783141034782793,5.605326916743029,10.169372759240893
1723528266.536724,3.029975175857544,-27.717698410291867,-45.8208063859866,0.057067,-0.6155190675549769,-35.26664478072798,53.55203413193989,7.866930549614921,-9.486117741606591,-0.18238,0.11911848584502938,6.824986500909021,12.325108054069458
1723528267.0367203,3.5299713611602783,-26.45069339047894,-47.30784086292847,0.027460000000000002,-0.5985934300081637,-34.296877183727425,54.20029282209545,9.133935569427848,-10.973152218548464,-0.21198699999999998,0.13604412339184258,7.7947540979095775,14.278788011804899
1723528267.5667164,4.059967517852783,-25.251929583555192,-48.84496700020406,-0.006139,-0.5890510395985216,-33.75013848678881,54.98627816674969,10.332699376351595,-12.510278355824049,-0.245586,0.1455865138014847,8.341492794848184,16.227509156541934
1723528268.0767124,4.569963455200195,-24.063677824949472,-50.283948293230424,-0.040691,-0.5903261785438682,-33.823198566649936,55.74529309436552,11.520951134957315,-13.949259648850415,-0.280138,0.1443113748561381,8.26843271498706,18.093994503817132
1723528268.5767095,5.069960594177246,-22.939831427768333,-51.700393222228975,-0.047557999999999996,-0.601362202638436,-34.45551616987336,56.56119506367322,12.644797532138455,-15.365704577848966,-0.287005,0.13327535076157027,7.6361151117636386,19.901712330162155
1723528269.0767066,5.569957733154297,-21.83338608397809,-53.15901692855101,-0.08972400000000001,-0.5993405549437183,-34.33968428930368,57.468129246550184,13.751242875928696,-16.824328284171003,-0.329171,0.13529699845628795,7.751946992333314,21.731614215091735
1723528269.576704,6.069955110549927,-20.71800153654812,-54.57012175184542,-0.09657500000000001,-0.575369761013313,-32.96625896551365,58.37073840898595,14.866627423358668,-18.23543310746541,-0.336022,0.1592677923866932,9.125372316123345,23.52999240004743
1723528270.1067016,6.599952697753906,-19.630377387341927,-56.07526295671934,-0.11265800000000001,-0.5554388956187898,-31.824304496364128,59.4121159685434,15.95425157256486,-19.740574312339334,-0.352105,0.17919865778121646,10.267326785272873,25.384097292452708
1723528270.5766993,7.069950342178345,-18.512483474283023,-57.365624746792314,-0.118651,-0.534597599341601,-30.630186180099496,60.2788605154012,17.072145485623764,-21.030936102412305,-0.358098,0.20003995405840524,11.461445101537505,27.090342541275795
1723528271.0766962,7.569947242736816,-17.466985622424207,-58.70384371602965,-0.08136900000000001,-0.5339764799052578,-30.594598657823482,61.24739565633929,18.11764333748258,-22.369155071649644,-0.320816,0.2006610734947485,11.497032623813517,28.7876887163522
1723528271.5666935,8.05994462966919,-16.474639799286976,-60.021883608330576,-0.06707500000000001,-0.5755545032345889,-32.97684391509063,62.241824904672086,19.10998916061981,-23.687194963950567,-0.306522,0.15908305016541735,9.114787366546366,30.43630803359198
1723528272.1366904,8.629941463470459,-15.600589160214646,-61.49282704282669,-0.051863,-0.6548174369952129,-37.51827549139939,63.44090832921273,19.98403979969214,-25.15813839844668,-0.29131,0.07982011640479335,4.5733557902376045,32.130649478452455
1723528272.6066885,9.099939584732056,-14.663578787730842,-62.74995450203778,-0.039862,-0.7198833022558229,-41.24627496119923,64.44050684042487,20.921050172175946,-26.415265857657772,-0.279309,0.014754251144183385,0.8453563204377739,33.69769464154669
1723528273.1366851,9.629936218261719,-13.464824074379461,-64.2144426985574,-0.004968,-0.8015733017653139,-45.92676716151883,65.61094545212198,22.119804885527326,-27.879754054177397,-0.244415,-0.06693574836530769,-3.83513587988183,35.58969222945662
