key,label,type,sensor,perturbation_type,start,end,x_rmse_m,y_rmse_m,z_rmse_m,yaw_rmse_rad,position_rmse_m,position_max_m,worst_component,samples
01_warmup,01 warmup,straight,,,1621218776.071249,1621218787.571249,0.048085218540409785,0.5634473044777832,0.044519968169902516,0.023045044229956003,0.5672451680985993,1.9029776086202825,position_max_m,230
02_left_turn,02 left_turn,turn_left,,,1621218788.071249,1621218791.571249,0.8200763602237057,0.9530056021848343,0.10907241456872066,1.5295149068965277,1.2619990911301369,2.1380333764500503,position_max_m,70
03_straight,03 straight,straight,,,1621218791.571249,1621218810.071249,2.2354277993733365,1.0669593883379858,1.1430095649078902,3.0965270759341634,2.7280048841680284,4.934399390086946,position_max_m,370
04_stop,04 stop,stop,,,1621218810.071249,1621218846.071249,0.46458292864350326,1.6288206865570878,1.4480871937421869,3.1339700802996475,2.228418867094648,2.282621129433273,yaw_rmse_rad,718
05_right_turn,05 right_turn,turn_right,,,1621218846.071249,1621218859.571249,0.555593111399317,1.9173340807652735,1.2437015030696787,2.629441703687869,2.3519453887019095,4.778803689481778,position_max_m,270
06_straight,06 straight,straight,,,1621218859.571249,1621218899.071249,1.6284822268692873,2.9998519231756156,7.812282080727157,0.09622672771003946,8.525421821415067,17.2607297395232,position_max_m,790
07_under_bridge,07 under_bridge,under_bridge,,,1621218899.071249,1621218901.371249,1.9787227415258342,2.9949340714398236,17.85102724247851,0.06708615666667286,18.208353780389167,19.392108627822093,position_max_m,46
08_straight,08 straight,straight,,,1621218901.371249,1621218907.371249,1.9583518713365735,2.8902902097741663,21.6486002528095,0.06417308966483298,21.928310752418383,24.663370933183316,position_max_m,120
09_slight_right,09 slight_right,turn_slight_right,,,1621218907.371249,1621218916.841249,1.991130970748863,1.5395263661247605,27.35241675199205,1.367180540497927,27.467971278369344,28.94172434569717,position_max_m,188
10_stop,10 stop,stop,,,1621218916.841249,1621218969.071249,1.419830597303289,0.3316103453721116,29.605414970522503,1.6492972050539287,29.641296866416518,30.125166351369696,position_max_m,1044
11_straight,11 straight,straight,,,1621218969.071249,1621218978.701249,1.9287470109864842,0.9677510756652431,31.25417556793531,1.598113604201925,31.32858275773365,33.42174434604244,position_max_m,194
12_right_turn,12 right_turn,turn_right,,,1621218978.701249,1621218984.391249,2.29033249198162,1.0292882771042235,33.519441827463446,2.3597415902603944,33.61336099984522,34.134281343996065,position_max_m,112
13_straight,13 straight,straight,,,1621218984.391249,1621219025.451249,3.4856101880232866,4.449170111474794,22.723511445259188,1.3276540702899786,23.41586140774063,32.93972180700674,position_max_m,822
14_stop,14 stop,stop,,,1621219025.451249,1621219041.071249,4.990232649386842,5.899265061280696,14.985656398717405,1.1491618336896412,16.860416598016595,16.9708221621599,position_max_m,312
15_straight,15 straight,straight,,,1621219041.071249,1621219073.261249,7.7928602807813485,7.600909898504858,11.307478365006707,1.122543590527526,15.69590932746693,17.1389390730759,position_max_m,642
16_stop,16 stop,stop,,,1621219073.261249,1621219088.071249,9.358740975613516,9.061531037067228,8.406652152453505,1.1081307540376213,15.50384396840704,15.531884805162962,position_max_m,296
17_straight,17 straight,straight,,,1621219088.071249,1621219104.071249,10.084076473278138,9.211297455041374,7.595164522237063,0.9895590575527369,15.627639720828672,17.50105712028419,position_max_m,320
18_right_turn,18 right_turn,turn_right,,,1621219104.071249,1621219108.071249,11.499489402977954,9.724214682094237,5.336705331973484,0.990136577141116,15.977453849502233,18.778913468288213,position_max_m,80
19_straight,19 straight,straight,,,1621219108.071249,1621219133.071249,14.115611931498151,7.666412484809549,7.42375928972539,2.032871579053175,17.695665643871113,23.64716164508998,position_max_m,500
20_under_bridge,20 under_bridge,under_bridge,,,1621219133.071249,1621219136.071249,15.654578706734638,5.311552948474311,12.957419781149357,2.462456084191464,21.004122371446908,23.545210289548237,position_max_m,60
