ros_time,wall_time,event,from_source,to_source,reason,pose_jump_m,orientation_jump_deg
0.0,1782379688.3090863,startup,none,none,fusion_node_started,0.0,0.0
1723528215.6653423,1782379706.607686,switch,none,fast_livo2,initial_healthy_source,0.0,0.0
1723528245.365974,1782379766.0089805,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,7.105427357601002e-15,0.0
1723528245.365974,1782379766.01144,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,0.0,0.0
1723528253.7627637,1782379782.803003,alignment_overlap_reset,fast_livo2,orbslam3,"fast_livo2_unhealthy:lidar_unavailable,stale_pose",0.0,0.0
1723528265.765993,1782379806.8087895,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:stale_pose,0.0,0.0
1723528269.3636568,1782379814.0042021,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,1.7763568394002505e-15,0.0
1723528269.4646559,1782379814.206495,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.029584789405002,0.12239043550212857
1723528300.7647245,1782379876.806585,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,1.464821375527116e-14,0.0
1723528300.7647245,1782379876.8092647,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,0.0,0.0
1723528306.0644698,1782379887.4121137,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,8.881784197001252e-16,0.0
1723528306.1987855,1782379887.674793,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.08466329634044636,0.11332432306112242
1723528340.364495,1782379956.0061204,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,7.588599744428075e-15,0.0
1723528340.364495,1782379956.0087736,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,0.0,0.0
1723528344.3288662,1782379963.9367619,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,2.0175535360778957e-14,0.0
1723528344.3288662,1782379963.939181,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.0,0.0
1723528348.161805,1782379971.6005409,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,0.0,0.0
1723528348.161805,1782379971.6038322,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,0.0,0.0
1723528353.0648828,1782379981.409224,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,0.0,0.0
1723528353.0648828,1782379981.412551,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.0,0.0
1723528356.1635408,1782379987.604148,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,1.0087767680389479e-14,0.0
1723528356.1635408,1782379987.6071498,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,0.0,0.0
1723528358.995727,1782379993.2684884,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,7.229248575812844e-15,0.0
1723528359.2662797,1782379993.8100326,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.23830633731926698,0.8710862222537852
1723528401.9651468,1782380079.2071428,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:lidar_unavailable,0.0,0.0
1723528401.9651468,1782380079.2096224,switch,fast_livo2,orbslam3,active_unhealthy:lidar_unavailable,7.160723346098895e-15,0.0
1723528401.9651468,1782380079.2117076,switch_applied,fast_livo2,orbslam3,active_unhealthy:lidar_unavailable,0.0,0.0
1723528502.8990061,1782380281.0747588,failure,orbslam3,none,both_estimators_unhealthy,0.0,0.0
