timestamp_relative_s,timestamp_absolute_s,x_error_m,y_error_m,z_error_m,xy_error_m,overall_error_m,yaw_error_deg
0.0067021846771240234,1723528213.164678,1.7998386716926333,-1.9367675345503295,-0.30359933249115373,2.6439530493199883,2.6613267897230393,4.3281502525466164
0.20679306983947754,1723528213.364769,1.7996416821644086,-1.9385132081505543,-0.30345366337626667,2.6450980402165998,2.6624477024298847,4.3195939582383
0.3735370635986328,1723528213.531513,1.7980802101342506,-1.9374050704763723,-0.30345762647520774,2.643223571547437,2.6605859092030752,4.311362426107011
0.5402801036834717,1723528213.698256,1.7982736237937496,-1.9367325065414167,-0.3035878504938697,2.6428622415719105,2.6602417955693407,4.316074960172206
0.6736750602722168,1723528213.831651,1.7995359675471478,-1.9369124115663556,-0.30315334110235714,2.6438531329435917,2.6611766827471577,4.318898194203962
0.8070700168609619,1723528213.965046,1.8000369495887354,-1.936548873252286,-0.3034218433476243,2.64392786557792,2.6612815283994076,4.316153849889803
0.9404401779174805,1723528214.098416,1.8008222254615343,-1.9358456893616622,-0.30378684787630206,2.6439476584713932,2.6613428320453156,4.315002358082984
1.1071419715881348,1723528214.265118,1.8014494168305266,-1.935978563372984,-0.3037599194832792,2.6444721589078544,2.661860831809818,4.310195483287194
1.240502119064331,1723528214.398478,1.7991080025249349,-1.9343843456108671,-0.30279799015880265,2.6417101281733473,2.659007150072721,4.315450985756951
1.4072000980377197,1723528214.565176,1.8006849434895968,-1.9351168490151778,-0.3026085507631372,2.6433205414880283,2.6605855408250885,4.316598805267046
1.5738980770111084,1723528214.731874,1.8008384719287576,-1.934737785631755,-0.30293728801549685,2.6431476502704063,2.660451183840845,4.312177336849917
1.70725417137146,1723528214.86523,1.7998993731896724,-1.9344458582734192,-0.3035035680002419,2.6422941797233253,2.6596678266258436,4.307841239932939
1.840609073638916,1723528214.998585,1.800538356482488,-1.9343524924911017,-0.3035272331629787,2.642661147096085,2.6600350974456655,4.304646217274442
