ros_time,wall_time,event,from_source,to_source,reason,pose_jump_m,orientation_jump_deg
0.0,1782045972.691642,startup,none,none,fusion_node_started,0.0,0.0
1723528216.984296,1782045989.531669,switch,none,fast_livo2,initial_healthy_source,0.0,0.0
1723528224.7562068,1782045997.3038554,switch,fast_livo2,orbslam3,"active_unhealthy:duplicate_timestamp,frozen_or_repeated_output",8.951979947807797e-16,0.0
1723528224.7562068,1782045997.3058214,switch_applied,fast_livo2,orbslam3,"active_unhealthy:duplicate_timestamp,frozen_or_repeated_output",0.0,0.0
1723528329.3558743,1782046101.9055269,failure,orbslam3,none,both_estimators_unhealthy,0.0,0.0
1723528337.3847127,1782046109.9332235,switch,none,orbslam3,initial_healthy_source,7.160723346098895e-15,0.0
1723528337.3847127,1782046109.9369829,output_gap,orbslam3,orbslam3,gap_sec=10.442,0.0,0.0
1723528337.3847127,1782046109.9390492,switch_applied,none,orbslam3,initial_healthy_source,0.0,0.0
1723528355.5862145,1782046128.1335359,output_gap,orbslam3,orbslam3,gap_sec=1.068,0.0,0.0
1723528365.1501987,1782046137.697962,failure,orbslam3,none,both_estimators_unhealthy,0.0,0.0
