stamp,time_from_start_s,gt_stamp,match_dt_s,output_x_m,output_y_m,output_z_m,output_yaw_rad,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,x_error_m,y_error_m,z_error_m,yaw_error_rad,yaw_error_deg,position_error_m
1723528213.5216873,0.0,1723528213.8162684,-0.29458117485046387,-0.007279149012426522,-0.002700266276210285,-0.000604746045920633,-0.00020917222023426456,0.0,0.0,0.0,0.0,-0.007279149012426522,-0.002700266276210285,-0.000604746045920633,-0.00020917222023426456,-0.01198468541080432,0.00778737221966468
1723528213.5216873,0.0,1723528213.8162684,-0.29458117485046387,-0.007279149012426522,-0.002700266276210285,0.0,-0.0002091722202344215,0.0,0.0,0.0,0.0,-0.007279149012426522,-0.002700266276210285,0.0,-0.0002091722202344215,-0.01198468541081331,0.007763855247719948
1723528213.6206448,0.09895753860473633,1723528213.8162684,-0.19562363624572754,0.00696598277692329,-0.002259996840423672,0.0,-2.9762011308775975e-05,0.0,0.0,0.0,0.0,0.00696598277692329,-0.002259996840423672,0.0,-2.9762011308775972e-05,-0.0017052376378134907,0.0073234214522391716
1723528213.7212276,0.199540376663208,1723528213.8162684,-0.09504079818725586,0.007666179489678715,-0.007273317770793634,0.0,-0.00033812071691396994,0.0,0.0,0.0,0.0,0.007666179489678715,-0.007273317770793634,0.0,-0.00033812071691396994,-0.019372890045108147,0.010567471758321055
1723528213.821728,0.30004072189331055,1723528213.8162684,0.00545954704284668,0.0023108537035275685,-0.00819555976863911,0.0,8.558602096986334e-05,0.0,0.0,0.0,0.0,0.0023108537035275685,-0.00819555976863911,0.0,8.558602096986334e-05,0.00490371778689133,0.008515118599317511
1723528213.923624,0.40193676948547363,1723528213.896839,0.02678513526916504,0.00010429897689451096,-0.0054731613762799575,0.0,-0.00015351784859563009,0.009284999999999998,0.004751,-0.0049169999999999995,-0.0013358844,-0.009180701023105487,-0.010224161376279958,0.0049169999999999995,0.0011823665514043699,0.0677446132329083,0.01459437001462773
1723528214.0236132,0.5019259452819824,1723528214.0182934,0.005319833755493164,-0.002305179787086025,-0.006086001467976952,0.0,-0.00032100724820427473,-0.004325000000000001,0.005633,-0.0017490000000000001,-0.0012780279,0.002019820212913976,-0.011719001467976952,0.0017490000000000001,0.0009570206517957253,0.05483324425475421,0.012019720050772472
1723528214.1235626,0.6018753051757812,1723528214.105362,0.01820063591003418,-0.004075415519117605,-0.007356435070531939,0.0,-0.00019773368557585155,-0.0023160000000000004,0.0037160000000000006,-0.000644,-0.0006410227999999999,-0.0017594155191176042,-0.01107243507053194,0.000644,0.00044328911442414836,0.025398595360595525,0.011229830691513454
1723528214.2239232,0.7022359371185303,1723528214.2128062,0.011116981506347656,-0.005956449312024359,-0.008569040909426884,0.0,-0.0002654233657204408,-0.006347,0.01653,-0.002153,-0.00033061439999999994,0.0003905506879756408,-0.025099040909426884,0.002153,6.519103427955915e-05,0.0037351711263114125,0.025194241274802513
1723528214.3280954,0.806408166885376,1723528214.2956884,0.03240704536437988,-0.005882387202461858,-0.009585282839380291,0.0,-0.00035611806295410275,0.004173,0.011807000000000002,-0.0016250000000000001,-0.0005500508,-0.010055387202461859,-0.021392282839380293,0.0016250000000000001,0.00019393273704589725,0.0111115273421503,0.023693484375909728
1723528214.4292493,0.9075620174407959,1723528214.3964171,0.03283214569091797,-0.00220646851121713,-0.00879576212629608,0.0,-0.0004771834264656328,-0.005819,0.00451,0.001546,-0.0009173305999999999,0.0036125314887828705,-0.01330576212629608,-0.001546,0.00044014717353436716,0.025218575408131483,0.013873853304652711
1723528214.5270379,1.0053505897521973,1723528214.4971173,0.029920578002929688,0.0005428427347655024,-0.010385685460985129,0.0,-0.00015344102339298613,-0.005005000000000001,0.008726000000000001,0.001153,0.000872361,0.0055478427347655035,-0.01911168546098513,-0.001153,-0.001025802023392986,-0.05877412655639824,0.019934003340255583
1723528214.630316,1.108628749847412,1723528214.625313,0.0050029754638671875,-0.0006580540058180645,-0.009241584877322828,0.0,-0.0002875527935812805,-0.008603000000000001,0.0023710000000000003,0.000852,-0.0003662803,0.007944945994181937,-0.011612584877322828,-0.000852,7.872750641871953e-05,0.0045107538493817274,0.014096105787893847
1723528214.7312853,1.2095980644226074,1723528214.6856408,0.045644521713256836,-0.0002367829632401974,-0.009300416073135077,0.0,-0.00018312663004671492,-0.009260000000000001,0.0020650000000000004,-0.000571,-0.00035463620000000004,0.009023217036759804,-0.011365416073135078,0.000571,0.00017150956995328512,0.009826774504426993,0.014522987613020592
1723528214.8303788,1.3086915016174316,1723528214.7914536,0.0389251708984375,-0.004035909726391506,-0.011447811622522836,0.0,-1.560925977805994e-05,-0.004191,-0.0002149999999999999,0.0031899999999999997,-0.0005914283,0.00015509027360849446,-0.011232811622522836,-0.0031899999999999997,0.00057581904022194,0.032992000767990956,0.011678022518391203
1723528214.933017,1.411329746246338,1723528214.880779,0.05223798751831055,-0.003639927352057634,-0.011556010618010802,0.0,-0.0004309391914047999,-0.002105000000000001,0.005211,0.003919000000000001,-0.0002772226,-0.0015349273520576332,-0.0167670106180108,-0.003919000000000001,-0.0001537165914047999,-0.00880731192863198,0.017287197807643134
1723528215.0333424,1.5116550922393799,1723528214.9937239,0.039618492126464844,-0.0031032743931403983,-0.013324922287152093,0.0,-0.00031815183013739207,-0.0069630000000000004,0.0031670000000000005,0.000638,-0.0010486784,0.003859725606859602,-0.016491922287152093,-0.000638,0.0007305265698626082,0.041856089275296327,0.016949573047298615
1723528215.1353748,1.613687515258789,1723528215.117403,0.01797175407409668,-0.005176052265642458,-0.011163279170148688,0.0,-0.0002705086907113241,-0.009328000000000001,0.0018660000000000005,-0.001441,-0.0005929336999999999,0.004151947734357543,-0.013029279170148688,0.001441,0.00032242500928867583,0.01847359224170749,0.013750536959788414
1723528215.2348912,1.7132039070129395,1723528215.222347,0.01254415512084961,-0.001725462768276262,-0.012980792887764662,0.0,0.00013139742631373963,-0.0052190000000000005,0.007524,-0.003091,-0.0005602401,0.003493537231723739,-0.02050479288776466,0.003091,0.0006916375263137396,0.0396279112106457,0.021028685521438665
1723528215.3343534,1.8126661777496338,1723528215.3080776,0.0262758731842041,-0.0022047310237321973,-0.012222737241296468,0.0,-0.00046301102668966365,-0.008763,0.004352,0.0016909999999999998,-0.0006332300999999999,0.006558268976267803,-0.016574737241296468,-0.0016909999999999998,0.0001702190733103362,0.00975283449331022,0.017905091107925052
1723528215.4379923,1.9163050651550293,1723528215.390466,0.04752635955810547,-0.0012011206018658755,-0.009844589454928115,0.0,-0.00012864216332042488,-0.010749,-0.004354,0.002291,-0.0006969377000000001,0.009547879398134125,-0.005490589454928115,-0.002291,0.0005682955366795753,0.03256093576786173,0.011249766867090264
1723528215.5380154,2.0163280963897705,1723528215.5173397,0.0206756591796875,-0.002439468944502497,-0.010265894096945415,0.0,-0.000172189568228287,-0.004039000000000001,-0.00016599999999999948,0.000503,-0.0008848400999999999,0.0015995310554975041,-0.010099894096945415,-0.000503,0.0007126505317717129,0.04083186773827293,0.010238133099692239
1723528215.6359456,2.114258289337158,1723528215.6126108,0.023334741592407227,-0.002460950875229093,-0.010572056293308707,0.0,-0.00014135861289643614,-0.005309,-0.0022069999999999998,0.000537,-0.0009921686,0.002848049124770907,-0.008365056293308706,-0.000537,0.0008508099871035639,0.04874782142861421,0.008852904585915965
1723528215.7383146,2.216627359390259,1723528215.6999395,0.038375139236450195,0.0020746032091508654,-0.00926011352762988,0.0,0.00031011579792661337,-0.005050000000000001,0.002965,-0.0008,-0.0005659747,0.007124603209150866,-0.01222511352762988,0.0008,0.0008760904979266134,0.05019628800270975,0.014172274752180114
1723528215.841033,2.319345712661743,1723528215.8239462,0.01708674430847168,0.007894158941251598,-0.008803869432608713,0.0,0.00048323113542592106,-0.0038450000000000003,0.0026210000000000005,-0.002689,-0.0009272543,0.011739158941251597,-0.011424869432608713,0.002689,0.001410485435425921,0.08081486251457748,0.01660018720376744
1723528215.9406846,2.418997287750244,1723528215.9068296,0.03385496139526367,0.010717482320479152,-0.010404104360496765,0.0,0.00083171934086268,0.0012370000000000003,0.0054670000000000005,0.000338,0.000366804,0.009480482320479152,-0.015871104360496765,-0.000338,0.0004649153408626799,0.02663768686231762,0.018490152585922518
1723528216.0415316,2.5198442935943604,1723528216.0164251,0.025106430053710938,0.013525793184118963,-0.00826247954204244,0.0,0.0014040333341376334,-0.0006460000000000007,0.005038,-0.0012569999999999999,-0.0006993772,0.014171793184118963,-0.01330047954204244,0.0012569999999999999,0.0021034105341376334,0.12051654618944456,0.019476204124565192
1723528216.1428213,2.621134042739868,1723528216.117098,0.02572321891784668,0.01689485538971101,-0.010369559359378807,0.0,0.0017470099634411262,0.002260999999999999,0.0035800000000000003,-0.0017360000000000001,0.0007137634000000001,0.014633855389711011,-0.013949559359378806,0.0017360000000000001,0.001033246563441126,0.059200667281572784,0.020291713231952762
1723528216.2432368,2.7215495109558105,1723528216.2222626,0.020974159240722656,0.018116099686338788,-0.009123927497219334,0.0,0.002074507924229696,0.004981999999999999,0.0032600000000000003,-0.003853,0.000740891,0.01313409968633879,-0.012383927497219335,0.003853,0.001333616924229696,0.07641062124557968,0.018458381397811398
1723528216.3426917,2.8210043907165527,1723528216.31508,0.027611732482910156,0.02024932191148594,-0.00906336304951401,0.0,0.0026772783568911325,0.00464,0.001991,-0.0025310000000000003,0.0013729603,0.01560932191148594,-0.01105436304951401,0.0025310000000000003,0.0013043180568911327,0.0747319198025663,0.019293932568734032
1723528216.4453306,2.9236433506011963,1723528216.3978648,0.04746580123901367,0.024654566408254718,-0.010096494414461287,0.0,0.0028846304655987254,0.009328,0.0023090000000000003,0.000495,0.0017436436,0.015326566408254718,-0.012405494414461288,-0.000495,0.0011409868655987254,0.06537373187866746,0.019724222533065078
1723528216.5454247,3.0237374305725098,1723528216.5239623,0.021462440490722656,0.027450161355658566,-0.01243967529939448,0.0,0.0036360741957128795,0.016365,-0.004284999999999999,-0.001222,0.0029172041,0.011085161355658565,-0.008154675299394482,0.001222,0.0007188700957128794,0.04118822250251352,0.013815672821818724
1723528216.6464834,3.124796152114868,1723528216.6045275,0.04195594787597656,0.03234136456724555,-0.015071712609436858,0.0,0.004235762925100862,0.021883,-0.004522999999999999,-0.0026190000000000002,0.0035127102,0.010458364567245547,-0.010548712609436859,0.0026190000000000002,0.0007230527251008618,0.0414278695137123,0.01508349721178445
1723528216.7482913,3.2266039848327637,1723528216.705356,0.04293537139892578,0.035063829588185894,-0.016943613927912913,0.0,0.004625841430335509,0.024522000000000002,-0.0007879999999999996,-0.0037600000000000003,0.0028278985,0.010541829588185891,-0.016155613927912912,0.0037600000000000003,0.001797942930335509,0.10301454171360845,0.019653794352595764
1723528216.8483524,3.326665163040161,1723528216.826292,0.022060394287109375,0.04125553797518717,-0.01766343277023981,0.0,0.005296364273637,0.030004000000000003,-0.0054199999999999995,-0.000593,0.0050987081,0.011251537975187166,-0.01224343277023981,0.000593,0.0001976561736369998,0.011324864544105055,0.016638822127977116
1723528216.9496017,3.4279143810272217,1723528216.9269538,0.022647857666015625,0.04845433477621336,-0.014974440640392155,0.0,0.0058446135827456835,0.040883,-0.002438,-0.00043400000000000003,0.0050599655,0.0075713347762133565,-0.012536440640392155,0.00043400000000000003,0.0007846480827456834,0.04495702354435945,0.014651819348585138
1723528217.051192,3.5295047760009766,1723528217.0279365,0.023255586624145508,0.05130201985343899,-0.016335528262985986,0.0,0.006314335364108637,0.042109,-0.005226999999999999,-0.000812,0.0049929732000000004,0.00919301985343899,-0.011108528262985987,0.000812,0.0013213621641086368,0.07570847521169775,0.014441965177747864
1723528217.1514952,3.629807949066162,1723528217.1088686,0.04262661933898926,0.05117642970748792,-0.015918348846187452,0.0,0.007256208029301713,0.043378,-0.0015849999999999996,-0.001977,0.0054208311,0.007798429707487918,-0.014333348846187453,0.001977,0.0018353769293017134,0.10515935186466906,0.016436816116545603
1723528217.2518528,3.730165481567383,1723528217.3047664,-0.052913665771484375,0.056816820891699225,-0.01729487007728606,0.0,0.007893133287766307,0.049391,-0.0067410000000000005,-0.004431999999999999,0.0069779452,0.007425820891699228,-0.01055387007728606,0.004431999999999999,0.0009151880877663072,0.05243641488965777,0.01364439861349084
1723528217.3531466,3.8314592838287354,1723528217.3047664,0.048380136489868164,0.0678940192240062,-0.019392686171674414,0.0,0.008661653286339721,0.049391,-0.0067410000000000005,-0.004431999999999999,0.0069779452,0.018503019224006205,-0.012651686171674413,0.004431999999999999,0.0016837080863397209,0.09646936727931442,0.0228488403948752
1723528217.4518676,3.930180311203003,1723528217.446366,0.005501508712768555,0.06875296366102263,-0.021452322932554654,0.0,0.009380131455440033,0.053095,-0.0046289999999999994,-0.00473,0.0079711155,0.015657963661022622,-0.016823322932554653,0.00473,0.0014090159554400322,0.08073066751330711,0.023464205089943367
1723528217.5525815,4.0308942794799805,1723528217.5175471,0.0350344181060791,0.07440023914914452,-0.023106878677209553,0.0,0.009802814223696998,0.055304000000000006,-0.00724,-0.002339,0.008727587300000002,0.019096239149144517,-0.015866878677209553,0.002339,0.001075226923696996,0.06160596474667287,0.02493782487705387
1723528217.6555219,4.133834600448608,1723528217.6052163,0.05030560493469238,0.08089325409183472,-0.022455161045229224,0.0,0.010667986987566103,0.05952299999999999,-0.00902,-0.004443,0.0084844402,0.021370254091834726,-0.013435161045229224,0.004443,0.0021835467875661024,0.12510801529688662,0.02563067617642624
1723528217.7563205,4.234633207321167,1723528217.7405667,0.015753746032714844,0.086255311469045,-0.023473061660758125,0.0,0.011736901611254513,0.064557,-0.014388,-0.004434,0.009624267999999998,0.021698311469044995,-0.009085061660758125,0.004434,0.002112633611254515,0.12104498958236556,0.0239377405363887
1723528217.8569968,4.3353095054626465,1723528217.865025,-0.008028268814086914,0.09059729201252067,-0.02414131749609688,0.0,0.011918832694774563,0.071701,-0.014944,-0.005336,0.0112747785,0.018896292012520674,-0.00919731749609688,0.005336,0.0006440541947745626,0.03690158713827912,0.02168255974156332
1723528217.9596114,4.437924146652222,1723528217.9509788,0.008632659912109375,0.09547735412212117,-0.02619409018251343,0.0,0.012730669618884694,0.077164,-0.010192,-0.007078,0.0114639597,0.018313354122121178,-0.01600209018251343,0.007078,0.0012667099188846936,0.07257713221945179,0.025328717168690278
1723528218.0595746,4.537887334823608,1723528218.0439494,0.0156252384185791,0.09776100555597954,-0.027557760800822787,0.0,0.01351600482053339,0.085997,-0.010416,-0.004593,0.0120848869,0.011764005555979534,-0.01714176080082279,0.004593,0.00143111792053339,0.08199701683210198,0.021291487479125126
1723528218.2370753,4.715388059616089,1723528218.2077923,0.02928304672241211,0.10532941821052712,-0.027441032544661657,0.0,0.014343923508816749,0.098934,-0.006281,-0.0018770000000000002,0.0133414175,0.0063954182105271234,-0.02116003254466166,0.0018770000000000002,0.0010025060088167496,0.05743936324170465,0.02218493814232265
1723528218.3370745,4.81538724899292,1723528218.3231335,0.013941049575805664,0.1111527589375402,-0.028407274697887907,0.0,0.014723104417496467,0.101573,-0.008242,-0.006999999999999999,0.012988825900000002,0.009579758937540206,-0.020165274697887908,0.006999999999999999,0.0017342785174964646,0.09936683955275272,0.02339679646752221
1723528218.4370735,4.915386199951172,1723528218.4610808,-0.024007320404052734,0.11805425990796903,-0.029189317909860946,0.0,0.015571482047508578,0.107205,-0.018298000000000002,-0.004233,0.0141674164,0.010849259907969033,-0.010891317909860945,0.004233,0.0014040656475085775,0.08044703576154462,0.01594507871928897
1723528218.5370727,5.015385389328003,1723528218.5516012,-0.014528512954711914,0.12253845315835067,-0.03224598178222424,0.0,0.016002463670059974,0.110916,-0.017372,-0.0022890000000000002,0.0152379223,0.01162245315835067,-0.014873981782224238,0.0022890000000000002,0.0007645413700599745,0.043804993767586176,0.019014633114419907
