key,label,type,sensor,perturbation_type,start,end,samples,relative_position_rmse_m,relative_position_max_m,relative_x_rmse_m,relative_y_rmse_m,relative_z_rmse_m,relative_yaw_rmse_deg,dominant_components,absolute_position_rmse_m,absolute_x_rmse_m,absolute_y_rmse_m,absolute_z_rmse_m,absolute_yaw_rmse_deg
01_straight_road,01 straight_road,temporal_phase,,,1723528213.157124,1723528321.185588,1068,0.739044639666365,1.59470065849235,0.32356733088365347,0.4684869298377072,0.4711806005935042,0.584176691649618,yaw,0.7384982272563111,0.3251501749885108,0.46640297129227054,0.4713016695656793,0.5909774192618102
02_left_turn,02 left_turn,temporal_phase,,,1723528321.185588,1723528237.046052,0,,,,,,,,,,,,
03_straight_road,03 straight_road,temporal_phase,,,1723528237.046052,1723528244.525495,74,0.1620394687186128,0.3672098553783062,0.07491358148586852,0.10463400143106369,0.09847065794486495,0.16729695757202978,yaw,0.34051245903879934,0.15907827416029902,0.11819910425247517,0.27689674827405114,0.3040972581086559
04_left_turn,04 left_turn,temporal_phase,,,1723528244.525495,1723528250.465728,59,0.17970222372256836,0.2820437840992431,0.056086509143103834,0.1342670271745769,0.10544931539217295,0.8590347778796141,yaw,0.5940747993039216,0.2919957012699128,0.19986679349944816,0.4771966496782386,1.0680921520646265
05_straight_road,05 straight_road,temporal_phase,,,1723528250.465728,1723528263.265728,127,0.5865836729572075,1.1808752523837982,0.5588992490179778,0.0934463984301845,0.15159091479219797,0.33863164350190933,x,0.5772072365099737,0.4241105376226329,0.2215843806196263,0.32279840151763234,0.3375158995430831
06_trees_occlusion,06 trees_occlusion,temporal_phase,,,1723528263.265728,1723528273.585834,102,0.379481925559433,0.4747989457687754,0.2826866966133425,0.052023071033707555,0.24776675213666777,0.12875507189759752,x,0.3814014389022147,0.21305914848371385,0.29208755721415025,0.12148133916262646,0.4438509518004794
07_straight_road,07 straight_road,temporal_phase,,,1723528273.585834,1723528280.882174,73,0.18927342427188099,0.3131511247502465,0.14712280064268915,0.08524640765892068,0.08314060769506143,0.2088990502381385,yaw,0.4945894857618963,0.16654317135280314,0.45890118752997344,0.07932106646754031,0.4930598376417057
08_left_turn,08 left_turn,temporal_phase,,,1723528280.882174,1723528285.674305,47,0.2212521540224129,0.30909024747492203,0.18445480831982258,0.12141397260953742,0.013696225846032622,0.6068999408427426,yaw,0.5968218472124964,0.18574498047990526,0.5476117058063351,0.14770422878351153,0.584335663711098
09_straight_road,09 straight_road,temporal_phase,,,1723528285.674305,1723528306.69381,209,0.7010858707662893,1.1743380126981786,0.3148159205599708,0.1247198927102238,0.613887027646337,0.11717061750073342,z,0.9345339070621398,0.20110873483457872,0.7487845137115264,0.5217572733061385,0.7958595130523203
10_trees_building_occlusion,10 trees+building_occlusion,temporal_phase,,,1723528306.69381,1723528317.083501,103,0.2761598004601589,0.4554395498409997,0.19334709959798743,0.16217276175109852,0.11216563561653864,0.20535268336043694,"yaw,x",1.38150481801768,0.6323098245949471,0.7483623823396082,0.9740090310801833,0.8263925327011384
11_u-turn,11 u-turn,temporal_phase,,,1723528317.083501,1723528334.696008,174,0.68220420318104,1.4969526445713648,0.5809378912984995,0.34444339341932556,0.09629376937948962,4.321841904978017,yaw,1.5085183007223113,0.7608472092798776,0.8311802599242475,1.0029348748834161,3.8880016954231515
12_speed_breaker,12 speed_breaker,temporal_phase,,,1723528334.696008,1723528336.569798,19,0.271720198320815,0.34028192107841976,0.257738227817133,0.08471578477832635,0.01503688486951164,1.0537296747882283,yaw,1.7838481599572322,0.305735144439096,1.5491081846877603,0.8300024767258227,7.71780146225091
13_straight_road,13 straight_road,temporal_phase,,,1723528336.569798,1723528356.963645,202,4.507896459300927,7.894016344750339,2.080669663825923,3.9926727334380954,0.22474136573475248,9.052045195036936,yaw,5.755876583076569,1.8099665427451603,5.4238778265651,0.6600649030570918,3.957160049394952
14_right_turn,14 right_turn,temporal_phase,,,1723528356.963645,1723528362.235453,52,2.907953408128371,5.488212264708665,2.7959691943829603,0.7932324558033118,0.09762970330362498,20.63392030388403,yaw,10.088888772783932,6.574323182001622,7.646054838107989,0.3190560779034836,28.191045276761564
15_straight_road,15 straight_road,temporal_phase,,,1723528362.235453,1723528378.383415,160,7.930805065262645,11.359415133124209,6.93051647386379,3.853941132643476,0.11290763843491723,24.024499369750377,yaw,16.159772087566505,15.853205230928882,3.128708503696403,0.1590626513065685,16.9269664891828
