stamp,time_from_start_s,gt_stamp,match_dt_s,output_x_m,output_y_m,output_z_m,output_yaw_rad,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,x_error_m,y_error_m,z_error_m,yaw_error_rad,yaw_error_deg,position_error_m
1723528213.2170312,0.0,1723528213.8162684,-0.5992372035980225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1723528213.2170312,0.0,1723528213.8162684,-0.5992372035980225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1723528213.2170312,0.0,1723528213.8162684,-0.5992372035980225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1723528213.2170312,0.0,1723528213.8162684,-0.5992372035980225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1723528213.2170312,0.0,1723528213.8162684,-0.5992372035980225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1723528213.4205692,0.2035379409790039,1723528213.8162684,-0.39569926261901855,-0.0020759215112775564,0.0015899766003713012,-0.0014908433659002185,-0.00016779305587988341,0.0,0.0,0.0,0.0,-0.0020759215112775564,0.0015899766003713012,-0.0014908433659002185,-0.00016779305587988341,-0.009613833933520102,0.003009998281122743
1723528213.6205096,0.40347838401794434,1723528213.8162684,-0.19575881958007812,0.0015871876385062933,0.0022391851525753736,0.0004850189434364438,-0.0003402548027224839,0.0,0.0,0.0,0.0,0.0015871876385062933,0.0022391851525753736,0.0004850189434364438,-0.0003402548027224838,-0.019495164155054756,0.0027871774473171578
1723528213.8205988,0.6035676002502441,1723528213.8162684,0.00433039665222168,-0.0014960611006245017,0.0036885614972561598,0.0005999158602207899,-0.0005157044506631794,0.0,0.0,0.0,0.0,-0.0014960611006245017,0.0036885614972561598,0.0005999158602207899,-0.0005157044506631794,-0.029547688499112768,0.004025367532932471
1723528214.0254588,0.8084275722503662,1723528214.0182934,0.007165431976318359,2.647041401360184e-05,0.0026291985996067524,0.0016965953400358558,-0.00027855637017637486,-0.004325000000000001,0.005633,-0.0017490000000000001,-0.0012780279,0.0043514704140136026,-0.0030038014003932476,0.003445595340035856,0.000999471529823625,0.057265500402377496,0.006311120729657844
1723528214.2238932,1.006861925125122,1723528214.2128062,0.01108694076538086,-0.0035116446670144796,0.005272186826914549,-0.0015394960064440966,-0.0004038511542603374,-0.006347,0.01653,-0.002153,-0.00033061439999999994,0.0028353553329855206,-0.01125781317308545,0.0006135039935559034,-7.323675426033747e-05,-0.004196156924354088,0.011625574585993365
1723528214.4297402,1.2127089500427246,1723528214.3964171,0.033323049545288086,-0.0019668512977659702,0.0007554180920124054,-0.0005511995404958725,2.6824338419828557e-05,-0.005819,0.00451,0.001546,-0.0009173305999999999,0.00385214870223403,-0.0037545819079875947,-0.0020971995404958726,0.0009441549384198285,0.05409609317789031,0.005773576087709176
1723528214.6294463,1.4124150276184082,1723528214.625313,0.0041332244873046875,2.6559631805866957e-05,0.0020363046787679195,-0.0010011490667238832,0.0002560286084190011,-0.008603000000000001,0.0023710000000000003,0.000852,-0.0003662803,0.008629559631805868,-0.00033469532123208074,-0.001853149066723883,0.0006223089084190011,0.035655674005802024,0.008832637310591196
1723528214.8301914,1.6131601333618164,1723528214.7914536,0.03873777389526367,-0.0031189050059765577,-0.0003866494516842067,0.00024398314417339861,0.00012128880189266057,-0.004191,-0.0002149999999999999,0.0031899999999999997,-0.0005914283,0.0010720949940234425,-0.0001716494516842068,-0.002946016855826601,0.0007127171018926605,0.04083568192524491,0.0031397239568611867
1723528215.0304468,1.81341552734375,1723528214.9937239,0.03672289848327637,-0.0026670454535633326,-0.0026763093192130327,-0.0007411213009618223,3.994590224465359e-05,-0.0069630000000000004,0.0031670000000000005,0.000638,-0.0010486784,0.004295954546436668,-0.005843309319213033,-0.0013791213009618224,0.0010886243022446536,0.06237357799399276,0.00738251074010857
