timestamp_s,x_m,y_m,z_m,qx,qy,qz,qw
1723528213.7746556,-0.007170384346486876,0.0026308839135278568,0.0009033825190033961,-9.946148486383954e-05,-1.356719830229944e-05,-5.3924332192897526e-05,0.9999999935077551
1723528213.9080505,-0.004008086066731266,-0.004949519972494398,-0.00290746758580669,5.562057695511525e-05,5.989109761610475e-05,-0.0009656175990602333,0.9999995304509198
1723528214.0414374,-0.017164800930361258,8.218916466373911e-05,-0.0019928929919739513,-0.00018930530441751145,-8.398788762605807e-05,-0.000882608832305136,0.9999995890555085
1723528214.174799,-0.021346786986511813,0.007265740337614784,0.002792626346594794,-9.053284974243257e-05,-0.00017427388051352918,-0.0009857245329370115,0.9999994948896539
1723528214.2748203,-0.013291515171866393,0.0031927064649120056,0.007462978257148839,2.102677792278957e-05,0.0001701375677628856,-0.0008400922089426324,0.999999632428014
1723528214.4081802,-0.009884516878296747,0.0015755987904716331,0.004298809365914865,-0.00013348646789687927,-7.802083543774043e-05,-0.00046538734536160476,0.9999998797543582
1723528214.508199,-0.009443381616275826,0.0007239998877873227,0.0016691779106304395,-0.00012159138804069653,0.00014063772693158753,-0.0006424558036426613,0.9999997763435273
1723528214.674897,-0.0031856834551007625,0.0056818147671982774,0.0060760216873413184,-0.00017211347241479597,8.234698064586941e-05,-0.0008105809823967729,0.9999996532771391
1723528214.808254,-0.015965283660382548,0.003689394326504153,0.004358776625816636,-0.00018981896546578595,-1.0856290599470884e-05,-0.0006621990611730258,0.9999997626716243
1723528214.9416096,-0.012183399164561265,0.0038083086748760746,0.0021013378145574133,-0.0001566886428425573,7.847938857430678e-05,-0.0007750436597585432,0.9999996842984403
1723528215.0416355,-0.011277513885183095,0.005054605108291952,0.0024272445274338595,-0.00021130271200869464,3.348577308386635e-05,-0.0006599170611263943,0.9999997593696407
1723528215.1750305,-0.012850792312818774,0.002911921523347984,0.00365159603216502,-0.00020328013881649982,1.108839847848417e-05,-0.0006751756679131744,0.9999997513459941
1723528215.3751237,-0.01464807548599717,0.004304881576687738,0.0041753135429371015,-0.0001445017203843656,7.446739959335603e-06,-0.0005344055469461635,0.9999998467372434
1723528215.5085196,-0.008770273883831971,0.00396975834991704,0.0002771727442592402,-0.00013568064321518644,5.216265761883795e-05,-0.0005609875377098544,0.9999998320813873
1723528215.6085677,-0.00827306446280153,0.0031450860831335778,0.0016339712948586233,-0.00017541989087975168,6.0996829124779443e-05,-0.0004754006614621966,0.9999998697507213
1723528215.7086148,-0.01027635837519663,0.0018874841007733795,0.003748466651060339,-0.00018862500032575143,2.707316132472652e-05,-0.000478291029024485,0.9999998674626634
1723528215.842012,-0.00613874059933886,0.0026358784545743963,0.0022422440376268656,-0.00014371729742367577,6.451253343181221e-05,-0.00020118918095566698,0.999999967353192
1723528215.9754095,-0.00025073602049621117,0.004095451657983777,0.0021702649317014147,-0.0002000772589266046,9.185975020540647e-06,0.0001799963061923049,0.9999999637430184
1723528216.0754566,-0.0034983887784848337,0.0020070615844273816,0.003228371420289972,-0.0001951248276600401,1.6048238887447085e-05,0.00013646607797101362,0.9999999715228822
1723528216.2088509,0.0030713357992675906,0.0005142826976229915,0.0030521532517278475,-0.00015146481770298123,2.1648556773443722e-05,0.0001674361157139331,0.9999999742774478
1723528216.308896,0.014244950701637778,0.002013050702291733,0.002777498949507188,-0.00017182442223829953,3.399556572311306e-05,0.0005901264578481645,0.9999998105356986
1723528216.4089427,0.014684947976953343,-0.00043157073770581054,0.0025485406646851556,-0.00012223198501640486,7.486443365243397e-05,0.0010193192562738987,0.9999994702213157
1723528216.5423374,0.017273919460184594,-0.004756070462472539,0.0026749595046310906,-0.00015039844093842544,1.3656026874775476e-05,0.0009682324721101091,0.9999995198597358
1723528216.6757326,0.021732576709862093,-0.005579831808129635,0.0017603715242504388,-0.0001465142934124726,1.0357931209087726e-05,0.0016512738329016717,0.9999986258595578
1723528216.8091278,0.0310201765675628,-0.006060205999958274,0.001809806034582822,-0.00017838052103032577,2.548511933251933e-05,0.0022094992931791665,0.999997542818867
1723528216.9425235,0.0346263511961016,-0.008059637621535191,0.0025060603203416907,-0.0001993763828327174,-2.5460328772480256e-05,0.002658856729818154,0.9999964450345412
1723528217.0759444,0.04299817790199646,-0.00722028448416814,0.0029946420990110897,-0.0001780783523801872,-6.236722232945708e-07,0.0031726810478964643,0.9999949511785944
1723528217.1760287,0.04623501613052153,-0.00829200802863581,0.0024659737363212212,-0.0001244212610844549,-2.275653299625619e-05,0.0033508501753685073,0.999994377886492
1723528217.2761154,0.050416817226536036,-0.00910562362905519,0.0036850500843038122,-0.000217076326421413,-2.6339168752527868e-05,0.0035113478859339657,0.9999938112909204
1723528217.3762016,0.05754606135151016,-0.010098010443009613,0.002005454522859724,-0.00021902211773699255,-6.460572763622675e-05,0.004005660740823333,0.9999919512363293
1723528217.5096521,0.06385606991099622,-0.00697362841672835,0.0005548293643391237,-8.983823716325615e-05,-5.285113089113933e-05,0.004194698412858599,0.9999911967817888
1723528217.7765577,0.07918018451257669,-0.010648067307952475,0.0013443698485643093,-0.0002111199062323444,-8.656410682373797e-05,0.005228727837239234,0.9999863040763333
1723528217.9100127,0.08801847948574579,-0.017063496812861692,0.0010309581728912725,-0.00012037437552271078,-4.701788612331934e-05,0.005681394904882017,0.9999838523952588
1723528218.0434535,0.0901325304932643,-0.01788476463530807,-0.00010664086146592103,-0.00019668409513365999,-0.0001447703087264286,0.006471221978939475,0.9999790316016749
1723528218.1768215,0.10202044445499325,-0.016619364510465046,-0.0006311164174469799,-0.00018093132368569392,-0.00012748915823830023,0.006473903481108906,0.9999790195719548
1723528218.310189,0.10055832968800187,-0.016525091071951603,0.0002690354701032255,-0.00014249651133399366,-9.813811063021014e-05,0.0070983843027391125,0.9999747911842309
1723528218.4435556,0.10878825316575078,-0.019737630333633398,-0.0005201506831850817,-0.00020119053227309427,-0.00010926558530018738,0.0076976265337381,0.9999703466249129
1723528218.5435805,0.11285097693189364,-0.019941216492567373,0.002452430490594205,-0.00022270903030198808,-0.00014878518357765773,0.007931645841697926,0.9999685081330807
1723528218.6769462,0.11981246953747869,-0.02111481298941406,0.0029236936951063056,-0.00017904939933388912,-0.0002090161163647114,0.008852004533107947,0.9999607823656493
1723528218.810311,0.13756847972203945,-0.021500899238961233,0.003714192952872667,-0.00011148760618260098,-0.00024343776174951733,0.009768540907240768,0.9999522508185646
1723528218.9103336,0.15828956466226937,-0.024936143252113727,0.003555001538637715,-0.00028268607070932163,-0.00022632970638472471,0.011444860481023092,0.9999344398669441
1723528219.0103571,0.1700081969772073,-0.029585702607942615,0.002924103850894257,-0.0002295556818319021,-0.000210805123037994,0.012278703443962544,0.9999245653083657
1723528219.2772079,0.23534589991547128,-0.04247350197990588,-0.0005084724531536676,-0.00016002808809660498,-0.00013957108107173983,0.01667764717922217,0.9998608958227588
1723528219.4106433,0.2797289814974227,-0.043180694115662395,-0.0016904635788568905,-0.00019670558964668427,-0.00019113668483321025,0.01984252367973539,0.9998030801251303
1723528219.51072,0.3300184887735202,-0.03961113873584712,-0.0018119235197825935,-0.00015986808469791488,-0.00026520549241007324,0.021642910480534842,0.9997657168227834
1723528219.6441576,0.396751266994534,-0.04020511735428215,-0.0018245947268637015,-0.00023891322759465343,-0.0003130294060985629,0.026146184011448505,0.999658052533315
1723528219.8109565,0.4499618600897388,-0.07058501313191759,-0.0051381837168748,-0.00016998910879520483,-0.0003447163552038875,0.028779915394269866,0.9995856985492719
1723528219.9443967,0.5193077411554293,-0.0821381112565723,-0.008739664161963064,-0.00016716294992232949,-0.0003905339751457707,0.03341775864771717,0.9994413804454594
1723528220.0778248,0.6180707760286465,-0.0844895431076286,-0.00724124134641084,-0.00017178599862808507,-0.00039504389650073447,0.03693882618054489,0.9993174358282227
