stamp,time_from_start_s,x_error_m,y_error_m,z_error_m,yaw_error_rad,yaw_error_deg,position_error_m,relative_x_error_m,relative_y_error_m,relative_z_error_m,relative_yaw_error_rad,relative_yaw_error_deg,relative_position_error_m
1723528336.6690357,0.0,0.31024286352539576,1.475361173583984,2.3694680516052244,0.13810845650697035,7.913031672915492,2.8084373011454975,0.0,0.0,0.0,0.0,0.0,0.0
1723528336.870843,0.20180726051330566,0.21775331005859755,1.4495614748535175,2.329948398880005,0.1400991446394162,8.02708970123142,2.7526904139158983,-0.09248955346679821,-0.025799698730466503,-0.03951965272521951,0.0019906881324458503,0.11405802831592705,0.10383518144922033
1723528337.0729623,0.4039266109466553,0.2019268029785195,1.487459508544923,2.3019369844055175,0.13887243219252965,7.956804255348654,2.7481310200745157,-0.10831606054687626,0.012098334960938928,-0.06753106719970692,0.0007639756855593038,0.04377258243316178,0.1282153801942379
1723528337.2737918,0.6047561168670654,0.17614590649414197,1.477596618652342,2.2331938642883298,0.13731071491622315,7.867324446623626,2.683556219519636,-0.1340969570312538,0.002235445068357933,-0.13627418731689467,-0.0007977415907471919,-0.04570722629186666,0.19120053668485262
1723528337.4761143,0.8070785999298096,0.19252879614258234,1.5212830502929648,2.2936686383819582,0.129127039033484,7.398434357639673,2.759037020257199,-0.11771406738281343,0.04592187670898085,-0.07579941322326622,-0.008981417473486353,-0.514597315275819,0.14734643350034585
1723528337.679093,1.0100572109222412,0.17996977099609524,1.7192667495117178,2.3429558509521486,0.14180925980496828,8.12507208269887,2.911650630477476,-0.13027309252930053,0.24390557592773376,-0.0265122006530758,0.003700803297997934,0.21204040978337751,0.2777839185216742
1723528337.8784628,1.2094271183013916,0.1407084726562502,1.7893003198242212,2.306312921432495,0.1357373518052729,7.777177380724604,2.922408903690037,-0.16953439086914557,0.3139391462402372,-0.06315513017272956,-0.002371104701697435,-0.13585429219088907,0.3623372292444646
1723528338.0822668,1.4132311344146729,0.18445003491211054,1.845306824462888,2.259665608306885,0.1317450538453,7.5484355570594674,2.9232289943063496,-0.12579282861328522,0.3699456508789041,-0.10980244329833955,-0.006363402661670348,-0.3645961158560254,0.4058819987250388
1723528338.2813275,1.6122918128967285,0.21245918579101897,1.9390775007324237,2.267670603668213,0.11751688055101317,6.733221277116082,2.9912356019235,-0.0977836777343768,0.4637163271484397,-0.1017974479370114,-0.020591575955957175,-1.1798103957994097,0.48472383900710697
1723528338.4858398,1.8168041706085205,0.23515203759765768,1.9800456767578112,2.19155090486145,0.10826491139462857,6.203122492270032,2.9628993792285065,-0.07509082592773808,0.5046845031738272,-0.17791714674377435,-0.029843545112341774,-1.7099091806454598,0.5403698649885728
