timestamp_s,x_m,y_m,z_m,qx,qy,qz,qw,frame_id,child_frame_id
1723528213.1701167,0.0,0.0,0.0,-0.5000000000000001,-0.5,0.5,0.5,orbslam3_map,
1723528218.4392924,-0.12802012264728546,-0.008091904222965225,-0.006387312430888414,-0.49651204574932195,-0.5037120573196199,0.5044233775084845,0.49528477460910536,orbslam3_map,
1723528218.5059755,-0.13185261189937592,-0.009899226948618873,-0.005571935325860977,-0.49656625554589956,-0.5037397332827779,0.5045054867964406,0.4951186208956464,orbslam3_map,
1723528218.8393884,-0.16238395869731903,-0.012688090093433838,-0.008603895083069801,-0.4954698576260017,-0.5042670077004606,0.5058338765793768,0.4943242806433576,orbslam3_map,
1723528219.006094,-0.18942080438137054,-0.014201493002474285,-0.008314937353134155,-0.4946420814240505,-0.5050816908816401,0.506847336570567,0.49328234737516063,orbslam3_map,
1723528219.172868,-0.2317531704902649,-0.019500480964779826,-0.011449513025581837,-0.4936550535749718,-0.5062454219483781,0.5080225263914423,0.4918672315930963,orbslam3_map,
1723528219.473098,-0.32627519965171814,-0.029306882992386776,-0.019240358844399452,-0.491032555685934,-0.5089957075315605,0.510977025967919,0.4885825190323194,orbslam3_map,
1723528219.8734133,-0.5095028281211853,-0.05167589336633676,-0.03230774775147438,-0.4866228610464708,-0.5135064650177846,0.5157833537911807,0.4831944054351288,orbslam3_map,
1723528220.1402576,-0.6523950099945068,-0.0691373571753501,-0.03814832121133804,-0.48369382475388534,-0.5168240044609478,0.5191474604915147,0.47897718794648153,orbslam3_map,
1723528220.4403877,-0.8239521980285645,-0.08960596472024908,-0.0477990098297596,-0.48037289051941506,-0.5202698365749509,0.5224767392740458,0.47495182926467067,orbslam3_map,
1723528220.707171,-0.992831289768219,-0.11368120461702334,-0.06046693027019501,-0.4775011701811107,-0.5227527559028717,0.5248658678507543,0.4724806974225478,orbslam3_map,
1723528220.9406064,-1.152793288230896,-0.13052274286746965,-0.06647448986768723,-0.4760330361675421,-0.5245070854833932,0.5262258142998485,0.4705010713263995,orbslam3_map,
1723528221.2406912,-1.3808000087738037,-0.15517772734165175,-0.08272208273410797,-0.47487204220191725,-0.5256094690081269,0.5282749406470324,0.4681418766873456,orbslam3_map,
1723528221.4740705,-1.573653221130371,-0.17739230394363384,-0.09441577643156052,-0.47387158170864746,-0.5266158351242118,0.5296154934218424,0.4665071439677127,orbslam3_map,
1723528221.7407854,-1.8061320781707764,-0.2070484012365339,-0.11217168718576431,-0.4723282159942595,-0.5277326379980275,0.5311681947251836,0.46504265189304156,orbslam3_map,
1723528222.007496,-2.0612173080444336,-0.237850025296211,-0.13093452155590057,-0.47074954965909943,-0.528767496696702,0.53257190870464,0.4638609252691533,orbslam3_map,
1723528222.2742343,-2.335448741912842,-0.27171415090560885,-0.1502910554409027,-0.46945922329098533,-0.5288504607760359,0.5337561961839723,0.46371278916934816,orbslam3_map,
1723528222.6076605,-2.7161965370178223,-0.3210646808147427,-0.1797809600830078,-0.46940246386631346,-0.5305203245492255,0.5317074767460694,0.46421619029149236,orbslam3_map,
1723528222.9410837,-3.1305277347564697,-0.3604212999343868,-0.20953960716724396,0.4708208809774858,0.5308411590718083,-0.5305137295825199,-0.4637785512454501,orbslam3_map,
