timestamp_relative_s,timestamp_absolute_s,x_error_m,y_error_m,z_error_m,xy_error_m,overall_error_m,yaw_error_deg
0.06078696250915527,1723528213.2187629,-4.779706492015511,1.8904589915036616,-6.404676001881604,5.139983399620301,8.212143693180872,-8.920434695190531
0.16112160682678223,1723528213.3190975,-4.779037768765089,1.8895279364491462,-6.405231985950139,5.139019149400493,8.211973856007077,-8.935250391376679
0.2621445655822754,1723528213.4201205,-4.779542890097461,1.8896477012317967,-6.405146876697207,5.139532923627574,8.212229002232938,-8.925162713309918
0.36339497566223145,1723528213.521371,-4.7802386124431875,1.8886699939063436,-6.405065219224677,5.139820574472902,8.212345341027532,-8.931746245556461
0.4635884761810303,1723528213.6215644,-4.7791719638164105,1.889731735456801,-6.405345289987454,5.139218879530369,8.212187222396105,-8.93549805161612
0.5650634765625,1723528213.7230394,-4.784248946869107,1.8894356628780564,-6.404714223226123,5.143831753641793,8.214582727745128,-8.88798116181634
0.6655871868133545,1723528213.823563,-4.782626991089793,1.8887127837489222,-6.405365272334185,5.142057653838316,8.213979619369773,-8.907828141216596
0.7666370868682861,1723528213.924613,-4.784918351195063,1.890641850045711,-6.403556616709175,5.1448974948727155,8.214347665892126,-8.881435488705282
0.8676140308380127,1723528214.02559,-4.7843182454314155,1.887329353135043,-6.405749641774141,5.14312289963725,8.214946234386602,-8.90441445941695
0.9678938388824463,1723528214.1258698,-4.791529167998544,1.8935368023951262,-6.401102132435948,5.1521096057639895,8.216954539224469,-8.857192362387163
1.0686323642730713,1723528214.2266083,-4.787734849016443,1.887001457081295,-6.406242244794406,5.146181058174443,8.217245230763282,-8.88926652138554
1.1698157787322998,1723528214.3277917,-4.7892531637124565,1.8945917732210713,-6.399746279322846,5.15038094254073,8.214814440569754,-8.852803467212881
1.2708137035369873,1723528214.4287896,-4.789730409674793,1.8891199779642984,-6.407150516948799,5.148814590612804,8.219602754108289,-8.893370885525806
1.3718469142913818,1723528214.5298228,-4.789579367718503,1.8926017382301383,-6.397498400288823,5.149952607473831,8.212794752148902,-8.835588701477379
1.4724490642547607,1723528214.630425,-4.792852444073268,1.8891245833895831,-6.408900818256559,5.151720706931419,8.22278760156649,-8.867072076912123
1.5734302997589111,1723528214.7314062,-4.793496580024695,1.8950109571743856,-6.393702149280585,5.154481156287161,8.212679414431967,-8.7747765893936
1.6739752292633057,1723528214.8319511,-4.793866101794938,1.884693497703968,-6.4133313348686665,5.151040844550373,8.225815497142793,-8.84491673779409
1.7750771045684814,1723528214.933053,-4.791052478220849,1.8940709164687635,-6.389239111690277,5.151862622943178,8.207561447350347,-8.783055780441412
1.8756051063537598,1723528215.033581,-4.79255986071587,1.8807510249670782,-6.419444583765178,5.148383672227589,8.228919929157879,-8.86386705027677
1.9771783351898193,1723528215.1351542,-4.790367166098577,1.8937719711401138,-6.382297106823815,5.151115400057664,8.201689229938115,-8.749355122333446
2.077501058578491,1723528215.235477,-4.793045124173262,1.8748033061793192,-6.428341116279644,5.146665813827627,8.234788309754745,-8.886454906445909
2.1783435344696045,1723528215.3363194,-4.7866453803416045,1.8969355588978731,-6.373268355933764,5.1488191376039625,8.193222079774444,-8.707729806135982
2.279559850692749,1723528215.4375358,-4.793000423875384,1.86501998891914,-6.442726078169761,5.1430684053721825,8.243777771183929,-8.921894360120966
2.380361795425415,1723528215.5383377,-4.775457585258428,1.9021985540261428,-6.359403717234457,5.140365209548968,8.17712480804328,-8.732033843031674
2.480909824371338,1723528215.6388857,-4.80075911226367,1.852226478028769,-6.464763743776967,5.145680808201527,8.262638878878025,-8.952389100399717
2.5819451808929443,1723528215.739921,-4.761799422230259,1.9081385145808436,-6.3378926473154396,5.129885605779062,8.153809510730204,-8.683711425578307
2.682720422744751,1723528215.8406963,-4.816524627080423,1.8360863877671172,-6.497373759219144,5.154621490140271,8.293731878569828,-8.964920300329071
2.783555746078491,1723528215.9415317,-4.735058570899287,1.9230467076227555,-6.298202160536046,5.110664174991888,8.110871640244742,-8.643428717109169
2.8849003314971924,1723528216.0428762,-4.841797821911155,1.8158780943469435,-6.5406843996048565,5.171113942062454,8.337923711394044,-8.985200312898979
2.985759735107422,1723528216.1437356,-4.702176371201966,1.9401831260670344,-6.231793185538136,5.086725192947358,8.04425381846476,-8.59331127559649
3.0865871906280518,1723528216.244563,-4.875199059150511,1.7923074920623456,-6.61849806713124,5.194221020754204,8.413349432720883,-8.989556624939793
3.1872599124908447,1723528216.3452358,-4.654595241432646,1.9698666278003305,-6.128226566747618,5.054268630859353,7.943600710400806,-8.535852426863391
3.2883460521698,1723528216.446322,-4.928732110644123,1.773877942943083,-6.733021279007551,5.2382290113123595,8.530686884332523,-9.022832284651585
3.388873815536499,1723528216.5468497,-4.5980933408484015,2.0019628253081883,-5.995743716506308,5.015009224824054,7.816601578633469,-8.464804364076443
3.4899449348449707,1723528216.6479208,-4.989309916703864,1.7586352261167404,-6.834548536235122,5.290180649416256,8.642746380498032,-9.027618926246406
3.590770959854126,1723528216.7487469,-4.591978477997805,2.0204541555869766,-6.117104693430012,5.016821836304706,7.911224378540101,-8.434876586634527
3.69118332862854,1723528216.8491592,-5.0678067040274435,1.7639438882451586,-7.019871149967386,5.366019272259741,8.835878778729786,-9.094264636475243
3.792440176010132,1723528216.950416,-4.543947853334093,2.0862545410091857,-5.994784079466489,4.999992010363713,7.806238291464452,-8.43166109072205
3.8932714462280273,1723528217.0512474,-5.032238213501265,1.7775996018921583,-6.773014761825087,5.336973091750563,8.623051127412507,-9.155523285232453
3.994152307510376,1723528217.1521282,-4.543800333719297,2.1049217521483228,-6.021802439568279,5.00767581372584,7.831916858379259,-8.469795995817908
4.094947576522827,1723528217.2529235,-5.0770852351329605,1.7498496020393133,-6.8972152941563,5.370173937086419,8.741301214836716,-9.23526603896344
4.196059703826904,1723528217.3540356,-4.492993795481314,2.1651209720578732,-5.905732277636406,4.98745847801046,7.7299686807253565,-8.492557150315987
4.296853303909302,1723528217.4548292,-4.993700723933971,1.7944760351641815,-6.632383132756139,5.306335002711121,8.493862324094108,-9.302415365736376
4.397379636764526,1723528217.5553555,-4.40346698059153,2.243512442875647,-5.638478362794663,4.942051146082742,7.497753515433895,-8.525890814756796
4.498421907424927,1723528217.6563978,-4.9834337015185755,1.825350509582862,-6.61475659182353,5.307213575904548,8.480655676852962,-9.286470256004385
4.599506616592407,1723528217.7574825,-4.460620347996946,2.1792653339593238,-5.878384978806128,4.964507154266297,7.694266777530837,-8.518307093711837
4.6998231410980225,1723528217.857799,-5.030510612541408,1.792674037055129,-6.829252858740109,5.340385494140219,8.669395125072638,-9.248104756211955
