timestamp_s,x_m,y_m,z_m,qx,qy,qz,qw,frame_id,child_frame_id
1723528213.2627504,0.0,0.0,0.0,-0.5000000000000001,-0.5,0.5,0.5,orbslam3_map,
1723528218.098462,-0.11371768265962601,-0.009659755975007997,-0.0076544019393622875,-0.4972342315390175,-0.5026318802470866,0.503007380757028,0.4970944445968348,orbslam3_map,
1723528218.1651459,-0.11525862663984299,-0.014814319089055047,-0.007684760726988316,-0.4973406233255163,-0.50278240412698,0.5038365476117862,0.4959948505590735,orbslam3_map,
1723528218.7319531,-0.1516588032245636,-0.015421289019286613,-0.007312733214348555,-0.4963858211841924,-0.5036711267932612,0.5053025659313952,0.49455619440590315,orbslam3_map,
1723528218.898658,-0.17402595281600952,-0.01427162904292343,-0.008970913477241993,-0.49561215832510824,-0.5041412928977809,0.5065342310580758,0.4935921576383539,orbslam3_map,
1723528219.0653808,-0.2076767086982727,-0.021990526467561698,-0.01117304153740406,-0.4948040291062638,-0.5049708543234998,0.5074039737154595,0.4926607519599706,orbslam3_map,
1723528219.4990444,-0.34533870220184326,-0.03674580529332157,-0.018824467435479164,-0.49137050051859843,-0.5088702273499124,0.5113694429767419,0.4879625146736245,orbslam3_map,
1723528219.866001,-0.5098592638969421,-0.05230596661567682,-0.030944615602493286,-0.48718110214125115,-0.513030486509778,0.5159676137924603,0.4829406952673287,orbslam3_map,
1723528220.1995409,-0.6877627968788147,-0.07687945663928977,-0.043797701597213745,-0.4831557686308967,-0.5171283081074884,0.5202724771443461,0.4779700468843834,orbslam3_map,
1723528220.4329753,-0.8199853897094727,-0.09571391344070425,-0.04823979362845421,-0.4808371288564103,-0.5196788338006457,0.5225881065664753,0.4750065642577911,orbslam3_map,
1723528220.6330626,-0.9450190663337708,-0.11216021329164494,-0.05687698721885681,-0.4783786362817587,-0.5218137910813676,0.5244366268480418,0.47310725232947276,orbslam3_map,
1723528221.299959,-1.4311643838882446,-0.15872000157833083,-0.0847182646393776,-0.47500909584967654,-0.5255377791078776,0.5287484368512892,0.4675483847878749,orbslam3_map,
1723528221.5666761,-1.6537476778030396,-0.18037326633930187,-0.0969475507736206,-0.4737448928165793,-0.526610680025615,0.5305826697428081,0.465541618742902,orbslam3_map,
1723528221.900067,-1.9599378108978271,-0.2189487069845197,-0.11694259941577911,-0.4716701369299054,-0.5282906773493672,0.5322746575004041,0.4638102318158781,orbslam3_map,
1723528222.2668219,-2.3346455097198486,-0.2667556703090665,-0.14292144775390625,-0.4698417855324407,-0.5287324177397147,0.5338392205952683,0.4633642342186549,orbslam3_map,
1723528222.6669328,-2.8025012016296387,-0.32840019464492765,-0.18047627806663513,-0.4701481209998462,-0.5302689905966017,0.5325351560827658,0.46279784946332625,orbslam3_map,
1723528223.1003816,-3.332252264022827,-0.3857249617576595,-0.21741335093975067,-0.4715823127827639,-0.5304622873101505,0.5310936257337076,0.4627736430666372,orbslam3_map,
1723528223.5004828,-3.8278214931488037,-0.4404152631759639,-0.2500234842300415,-0.47207217822307324,-0.5297260515166909,0.5310714950140867,0.4631427815218132,orbslam3_map,
1723528223.8672376,-4.320791244506836,-0.5023257732391352,-0.2835892140865326,0.47167323346997275,0.5313408659603959,-0.5285673203626412,-0.46456197953889256,orbslam3_map,
1723528224.4007165,-5.142195224761963,-0.5840107798576348,-0.3350696563720703,-0.4720944733147611,-0.5286162007495975,0.5292673654226765,0.4664416109967663,orbslam3_map,
1723528224.8008287,-5.794793128967285,-0.6474390625953668,-0.3716029226779938,-0.47194214350559094,-0.5265013683117589,0.5301120217749136,0.46802581843196145,orbslam3_map,
1723528225.234285,-6.534538269042969,-0.7262137532234184,-0.42379555106163025,-0.47022391421650805,-0.5266071814660356,0.5301414272489391,0.46960027048731756,orbslam3_map,
1723528225.8344567,-7.589231014251709,-0.8453252911567679,-0.47671574354171753,-0.47064781380426074,-0.5289504082255359,0.5318043223475025,0.4646356246908136,orbslam3_map,
1723528226.267908,-8.298840522766113,-0.9347565174102773,-0.5210151672363281,-0.4649901599622635,-0.5303250277377315,0.5367444146482935,0.463082011567178,orbslam3_map,
1723528226.8347178,-9.23514175415039,-1.0714821815490712,-0.5636954307556152,-0.46056549572458955,-0.5344587366957927,0.5415253219216473,0.45714725049502053,orbslam3_map,
1723528227.3350174,-10.039994239807129,-1.2054936885833727,-0.6027035117149353,-0.45755474709995386,-0.5388715671557069,0.5444340424335093,0.451500455101606,orbslam3_map,
1723528227.9355514,-10.987177848815918,-1.3553215265274035,-0.6494441032409668,-0.45228796130121013,-0.5410126339927468,0.5499137861364121,0.4475888266471157,orbslam3_map,
1723528228.4024868,-11.761292457580566,-1.514010667800902,-0.6792612671852112,-0.44984694726955243,-0.5435821237657463,0.5541251897898143,0.4417029236885213,orbslam3_map,
1723528228.9694264,-12.721017837524414,-1.7322188615798935,-0.7299598455429077,-0.44579685013992754,-0.547026859322406,0.5579276811043242,0.43674189888621295,orbslam3_map,
1723528229.6032114,-13.849331855773926,-2.024976968765257,-0.8010722398757935,-0.44123030424368487,-0.5517457579803288,0.5604101739027212,0.43224168488712367,orbslam3_map,
1723528230.170271,-14.876350402832031,-2.2928590774536115,-0.8622910380363464,-0.43911175119195894,-0.5538061735292804,0.56642312342257,0.42384482700418546,orbslam3_map,
1723528230.8038883,-15.999100685119629,-2.6419003009796125,-0.9049931168556213,-0.4358054750888709,-0.5556865348234178,0.5718292303957088,0.4174893940731399,orbslam3_map,
1723528231.4041243,-17.1512393951416,-3.0480508804321267,-0.9803128242492676,-0.43370568804579473,-0.5589383029554982,0.5815657750909373,0.401582617762309,orbslam3_map,
1723528232.071028,-18.40289878845215,-3.596304416656492,-1.054572582244873,-0.42472070854660465,-0.5660164839414251,0.5978441767304329,0.37658996267527867,orbslam3_map,
1723528232.7382727,-19.598451614379883,-4.213556289672849,-1.144572138786316,-0.39809439661166557,-0.5873960866257867,0.6176657478989777,0.33908068755902604,orbslam3_map,
1723528233.3387399,-20.669315338134766,-4.889739036560056,-1.234737753868103,-0.3735934473952967,-0.6064695431074976,0.6330504989168843,0.3031001404938057,orbslam3_map,
1723528233.4388032,-20.833372116088867,-5.00631237030029,-1.252514123916626,-0.36871762865385865,-0.6086964003904696,0.6365215789782251,0.2972814860811676,orbslam3_map,
1723528233.538868,-20.986881256103516,-5.13341951370239,-1.2669475078582764,-0.36284094990562593,-0.6116974389693595,0.6400103104203223,0.29079114633288367,orbslam3_map,
1723528233.6055777,-21.095806121826172,-5.217372894287107,-1.2746007442474365,-0.35845318213955774,-0.6137427141245065,0.6420894798821288,0.28731915511814826,orbslam3_map,
1723528233.6389322,-21.14438247680664,-5.260689258575437,-1.2794580459594727,-0.35632609626332795,-0.6146171190170466,0.6430800416326085,0.2858768444395692,orbslam3_map,
1723528233.7389987,-21.293115615844727,-5.3946113586425755,-1.2852801084518433,-0.3501193546077946,-0.6173198071429731,0.6462282868275522,0.2805738664628462,orbslam3_map,
1723528233.8057094,-21.388391494750977,-5.486350536346433,-1.2968944311141968,-0.3461104805107181,-0.6187448933466185,0.6483500752064106,0.27749679677063516,orbslam3_map,
1723528233.8390646,-21.436859130859375,-5.531530380249021,-1.3007276058197021,-0.3441094541389301,-0.6195077867204085,0.6493061040131766,0.2760441433108451,orbslam3_map,
1723528233.9724874,-21.635099411010742,-5.713624477386472,-1.3133409023284912,-0.336191918343672,-0.6228130553939993,0.6532865043730834,0.26887847677936255,orbslam3_map,
1723528234.0058439,-21.68039321899414,-5.758859157562253,-1.3193237781524658,-0.3339761326839881,-0.6232711635946213,0.6546989938665635,0.2671370937533073,orbslam3_map,
1723528234.072556,-21.773792266845703,-5.84961938858032,-1.3263744115829468,-0.3298531560415243,-0.6243710961016881,0.6572504880114897,0.2633997452748978,orbslam3_map,
