key,label,type,sensor,perturbation_type,start,end,x_rmse_m,y_rmse_m,z_rmse_m,yaw_rmse_rad,position_rmse_m,position_max_m,worst_component,samples
01_warmup,01 warmup,straight,,,1621218776.071249,1621218787.571249,0.03768556309828275,0.5800618719507311,0.042659880670183385,0.02163927250933782,0.5828480439838633,2.4680592787273508,position_max_m,342
02_left_turn,02 left_turn,turn_left,,,1621218788.071249,1621218791.571249,0.8158562033416036,1.0149368108990529,0.06185807145745017,1.3661800938904434,1.3036657913949228,2.6996988416447847,position_max_m,104
03_straight,03 straight,straight,,,1621218791.571249,1621218810.071249,2.7384010366765943,1.2546314611076688,1.9155534470555238,3.083444509184657,3.569633783653292,6.98284954025541,position_max_m,420
