stamp,x_error_m,y_error_m,z_error_m,yaw_error_rad,position_error_m
1621218775.9698832,0.020663338445846172,-0.003808030443302065,-0.0007493596157666035,0.0005943631848988544,0.02102465674912296
1621218775.9698832,0.020663338445846172,-0.003808030443302065,-0.0007493596157666035,0.0005943631848988544,0.02102465674912296
1621218776.0645506,0.00581604216925333,-0.0046133156635932825,-0.011647812617778587,-0.00020994380008273317,0.013812333861638668
1621218776.0645506,0.00581604216925333,-0.0046133156635932825,-0.011647812617778587,-0.00020994380008273317,0.013812333861638668
1621218776.0751255,0.005392473314571177,-0.005024727573700573,-0.018963152171441382,0.0008080571626835625,0.020345215553429535
1621218776.0751255,0.005392473314571177,-0.005024727573700573,-0.018963152171441382,0.0008080571626835625,0.020345215553429535
1621218776.1802945,0.011455300900869513,-0.007064052032144004,-0.015760101243928324,-0.0005220038827200189,0.020724515460226585
1621218776.1802945,0.011455300900869513,-0.007064052032144004,-0.015760101243928324,-0.0005220038827200189,0.020724515460226585
1621218776.2724206,0.012689856108601382,-0.006604433694175913,-0.018922876131887124,-0.00020441880774373057,0.023721851394453118
1621218776.2724206,0.012689856108601382,-0.006604433694175913,-0.018922876131887124,-0.00020441880774373057,0.023721851394453118
1621218776.2794516,0.008370657305895597,-0.006819350246081788,-0.01805448186245332,0.0002268126820346318,0.021036533859767274
1621218776.2794516,0.008370657305895597,-0.006819350246081788,-0.01805448186245332,0.0002268126820346318,0.021036533859767274
1621218776.3668416,0.00933232271965983,-0.007876300811950739,-0.014844000364774101,-0.00019508620924380178,0.019221672889049708
1621218776.3668416,0.00933232271965983,-0.007876300811950739,-0.014844000364774101,-0.00019508620924380178,0.019221672889049708
1621218776.4717724,0.010463854328741007,-0.006149754900199968,-0.020088091873034303,-7.234272011357948e-05,0.023470048313651
1621218776.4717724,0.010463854328741007,-0.006149754900199968,-0.020088091873034303,-7.234272011357948e-05,0.023470048313651
1621218776.478868,0.01103606379030146,-0.006849734482758067,-0.021192614480945796,-5.247455726958364e-05,0.024856397064053376
1621218776.478868,0.01103606379030146,-0.006849734482758067,-0.021192614480945796,-5.247455726958364e-05,0.024856397064053376
1621218776.5649483,0.009781034257212492,-0.007629897521193535,-0.032991624386996043,-0.00019644918485446834,0.03524671966321564
1621218776.5649483,0.009781034257212492,-0.007629897521193535,-0.032991624386996043,-0.00019644918485446834,0.03524671966321564
1621218776.6733682,0.01031521679735824,-0.007394199949845342,-0.033829741465185734,-0.00012130350908141483,0.036132108962474103
1621218776.6733682,0.01031521679735824,-0.007394199949845342,-0.033829741465185734,-0.00012130350908141483,0.036132108962474103
1621218776.6840746,0.009794374510519769,-0.007852548071763202,-0.033637554776118,-0.00011181137425037164,0.03590372368693825
1621218776.6840746,0.009794374510519769,-0.007852548071763202,-0.033637554776118,-0.00011181137425037164,0.03590372368693825
1621218776.7742424,0.009920325891931306,-0.006908027732619038,-0.032635769106295016,-0.0003996133944419249,0.03480268866217316
1621218776.7742424,0.009920325891931306,-0.006908027732619038,-0.032635769106295016,-0.0003996133944419249,0.03480268866217316
1621218776.8723905,0.010030605778130114,-0.007242160603424702,-0.033958636129437766,-0.00019465916187380784,0.036142093329711966
1621218776.8723905,0.010030605778130114,-0.007242160603424702,-0.033958636129437766,-0.00019465916187380784,0.036142093329711966
1621218776.8794484,0.01034442563919744,-0.006979188408504387,-0.03327362701611916,-0.00012383916881210852,0.03553660742746981
1621218776.8794484,0.01034442563919744,-0.006979188408504387,-0.03327362701611916,-0.00012383916881210852,0.03553660742746981
1621218776.966369,0.010509298978588618,-0.006334772262713896,-0.03189432910821806,-0.00015562041233322407,0.03417342438072513
1621218776.966369,0.010509298978588618,-0.006334772262713896,-0.03189432910821806,-0.00015562041233322407,0.03417342438072513
1621218777.0787966,0.008905122697454368,-0.006129403636161797,-0.03328493161490786,-0.00018123409529143764,0.0349965351399364
1621218777.0787966,0.008905122697454368,-0.006129403636161797,-0.03328493161490786,-0.00018123409529143764,0.0349965351399364
1621218777.0893822,0.00925790141313294,-0.007010066254626873,-0.033675731270320794,-8.302254483401335e-05,0.03562168783284151
1621218777.0893822,0.00925790141313294,-0.007010066254626873,-0.033675731270320794,-8.302254483401335e-05,0.03562168783284151
1621218777.1704004,0.009167349016653843,-0.00741413559452087,-0.033360443541307024,-0.0001700210857061472,0.035382607137968494
1621218777.1704004,0.009167349016653843,-0.00741413559452087,-0.033360443541307024,-0.0001700210857061472,0.035382607137968494
1621218777.2684913,0.010046514512959985,-0.007324579397077259,-0.035123274793143394,-0.0002045808047403527,0.037258909664640835
1621218777.2684913,0.010046514512959985,-0.007324579397077259,-0.035123274793143394,-0.0002045808047403527,0.037258909664640835
1621218777.2791913,0.0095253446339599,-0.0073325625759066,-0.03516889909474012,-0.00017685386480475982,0.03716651890964914
1621218777.2791913,0.0095253446339599,-0.0073325625759066,-0.03516889909474012,-0.00017685386480475982,0.03716651890964914
1621218777.3648005,0.009000220376911146,-0.007064575289420347,-0.03364832007786958,-0.00019434188072783146,0.03554042254835494
1621218777.3648005,0.009000220376911146,-0.007064575289420347,-0.03364832007786958,-0.00019434188072783146,0.03554042254835494
1621218777.4753165,0.009777511924594123,-0.00614301779409838,-0.03488043333191304,-1.043300487489109e-05,0.03674208807996927
1621218777.4753165,0.009777511924594123,-0.00614301779409838,-0.03488043333191304,-1.043300487489109e-05,0.03674208807996927
1621218777.482541,0.009092256863897707,-0.0060526568317102155,-0.03492761250547042,-5.171966467235787e-05,0.036595654180979424
1621218777.482541,0.009092256863897707,-0.0060526568317102155,-0.03492761250547042,-5.171966467235787e-05,0.036595654180979424
1621218777.572548,0.006618346088721754,-0.004363250660998802,-0.028082454140742785,0.00013974481869164624,0.029179867920326962
1621218777.572548,0.006618346088721754,-0.004363250660998802,-0.028082454140742785,0.00013974481869164624,0.029179867920326962
1621218777.6712022,0.006649438523348909,-0.004537931204464817,-0.03040884092620038,-0.00015851319455582752,0.031456405687351044
1621218777.6712022,0.006649438523348909,-0.004537931204464817,-0.03040884092620038,-0.00015851319455582752,0.031456405687351044
1621218777.6782415,0.0073988739966298735,-0.004663439797571885,-0.030498178462772266,-1.8020158853511024e-05,0.03172743129707618
1621218777.6782415,0.0073988739966298735,-0.004663439797571885,-0.030498178462772266,-1.8020158853511024e-05,0.03172743129707618
1621218777.7685707,0.008014231712083774,-0.005773758066546095,-0.02894904608275041,-0.0002489697159227217,0.03058776652923816
1621218777.7685707,0.008014231712083774,-0.005773758066546095,-0.02894904608275041,-0.0002489697159227217,0.03058776652923816
1621218777.8749666,0.007857596161344623,-0.0050154086064201995,-0.02972970706254361,-4.1410665611234286e-05,0.03115688724742552
1621218777.8749666,0.007857596161344623,-0.0050154086064201995,-0.02972970706254361,-4.1410665611234286e-05,0.03115688724742552
1621218777.882259,0.007794920148726695,-0.005360731053101232,-0.029819205964672663,6.893880985462422e-05,0.0312839137882759
1621218777.882259,0.007794920148726695,-0.005360731053101232,-0.029819205964672663,6.893880985462422e-05,0.0312839137882759
1621218777.9736521,0.006554617545042212,-0.005139308875736076,-0.028379745348103697,-0.00011422448322938837,0.029576772185368846
1621218777.9736521,0.006554617545042212,-0.005139308875736076,-0.028379745348103697,-0.00011422448322938837,0.029576772185368846
1621218778.0720267,0.006115745263885849,-0.00503933450949598,-0.029456204033010372,-0.0002879943762292723,0.030503527475780168
1621218778.0720267,0.006115745263885849,-0.00503933450949598,-0.029456204033010372,-0.0002879943762292723,0.030503527475780168
1621218778.079077,0.007266748662881679,-0.005955370465255653,-0.029783559997288135,-8.402227160476692e-05,0.031230314113373788
1621218778.079077,0.007266748662881679,-0.005955370465255653,-0.029783559997288135,-8.402227160476692e-05,0.031230314113373788
1621218778.172531,0.006785472242088273,-0.00503978116591622,-0.029490291710853295,9.861167669883002e-05,0.030677668310021493
1621218778.172531,0.006785472242088273,-0.00503978116591622,-0.029490291710853295,9.861167669883002e-05,0.030677668310021493
1621218778.2718444,0.007326030313014605,-0.005343208408938009,-0.031326062048917525,-3.0361968406254214e-05,0.03261200330769616
1621218778.2718444,0.007326030313014605,-0.005343208408938009,-0.031326062048917525,-3.0361968406254214e-05,0.03261200330769616
