stamp,time_from_start_s,x_error_m,y_error_m,z_error_m,yaw_error_rad,yaw_error_deg,position_error_m,relative_x_error_m,relative_y_error_m,relative_z_error_m,relative_yaw_error_rad,relative_yaw_error_deg,relative_position_error_m
1723528334.7265303,0.0,0.3300726028243801,1.3856278803978554,-0.8392660000000001,0.1430795824590111,8.19785620939538,1.6532634287454357,0.0,0.0,0.0,0.0,0.0,0.0
1723528334.8265293,0.09999895095825195,0.29377676440248734,1.3715464705475995,-0.833516,0.1417492067049867,8.121631293523249,1.6316229437067782,-0.03629583842189277,-0.014081409850255966,0.005750000000000033,-0.0013303757540243932,-0.07622491587213227,0.039353989507025
1723528334.92653,0.19999957084655762,0.2655081388002074,1.4019333568368921,-0.8387950000000001,0.14311138032380133,8.199678092845389,1.6551401030746935,-0.06456446402417271,0.01630547643903668,0.0004709999999999992,3.1797864790239494e-05,0.0018218834500083657,0.066593246036161
1723528335.0265288,0.29999852180480957,0.22148070739136472,1.436895321272921,-0.840574,0.14226611908144005,8.151248191072103,1.6793708695575822,-0.1085918954330154,0.05126744087506552,-0.0013079999999999758,-0.0008134633775710443,-0.04660801832327779,0.12009271881181344
1723528335.1265292,0.39999890327453613,0.16748364586965891,1.3966259965652057,-0.836789,0.1370942317735231,7.8549208762111835,1.6367134069337084,-0.1625889569547212,0.010998116167350247,0.0024770000000000625,-0.005985350685488,-0.3429353331841966,0.1629793330820037
1723528335.2265282,0.4999978542327881,0.15082266663911525,1.414867659237288,-0.826634,0.1318722304150628,7.555722237759826,1.6455764156926094,-0.17924993618526486,0.029239778839432518,0.012632000000000088,-0.011207352043948295,-0.642133971635554,0.18205788011783627
1723528335.3265288,0.5999984741210938,0.10928706836426016,1.3912779419287986,-0.826141,0.12764982678064918,7.313796330107227,1.621760440660176,-0.22078553446011995,0.005650061530943162,0.013125000000000053,-0.01542975567836191,-0.884059879288154,0.22124746562874853
1723528335.4265277,0.6999974250793457,0.06045562677817884,1.373822876345578,-0.824018,0.13149096287307183,7.533877216738417,1.603137499624901,-0.2696169760462013,-0.011805004052277468,0.01524800000000004,-0.011588619585939266,-0.6639789926569635,0.2703057035968205
1723528335.5265284,0.7999980449676514,0.02388627379286845,1.3485758306373086,-0.8293010000000001,0.1280975904889914,7.339451300814361,1.5833406056991701,-0.30618632903151166,-0.03705204976054688,0.009965000000000002,-0.014981991970019705,-0.8584049085810189,0.3085809840256706
1723528335.6265273,0.8999969959259033,0.0678282395042018,1.4073001078924747,-0.8293010000000001,0.1373503170108199,7.869593479503897,1.634880549871889,-0.2622443633201783,0.02167222749461928,0.009965000000000002,-0.00572926544819119,-0.3282627298914832,0.2633269693039135
1723528335.7265275,0.9999971389770508,0.06929906217599324,1.4479608644685484,-0.8197570000000001,0.13771015581183302,7.890210724106997,1.6653511834144707,-0.26077354064838687,0.06233298407069299,0.019509,-0.005369426647178072,-0.30764548528838365,0.26882864707179766
1723528335.8565264,1.1299960613250732,0.06334293907303135,1.4489251724578693,-0.829775,0.13361886084457697,7.655796789740111,1.6709048548428713,-0.26672966375134877,0.06329729206001389,0.009491000000000027,-0.00946072161443412,-0.5420594196552696,0.2743015490077267
1723528335.9265268,1.1999964714050293,0.0614340863136249,1.4318956334002877,-0.8333630000000001,0.12951057387913625,7.42040928559175,1.6578881571689332,-0.2686385165107552,0.046267753002432244,0.005902999999999992,-0.013569008579874836,-0.7774469238036309,0.2726576661859948
1723528336.0265257,1.2999954223632812,0.07358677329941088,1.4402424875265325,-0.859576,0.12725093705227608,7.290941632180328,1.6788640015966847,-0.25648582952496923,0.05461460712867705,-0.02030999999999994,-0.01582864540673501,-0.9069145772150523,0.26302135304748797
1723528336.126526,1.3999958038330078,0.054634021520975296,1.4036822706733005,-0.8431620000000001,0.12450912187689878,7.133847194426287,1.638362277261689,-0.2754385813034048,0.018054390275445087,-0.0038960000000000106,-0.018570460582112314,-1.0640090149690935,0.2760571533118648
1723528336.226525,1.4999947547912598,0.01816362044768738,1.3771104800804892,-0.811446,0.12799489618900164,7.333567350844899,1.5985017367432803,-0.31190898237669273,-0.008517400317366253,0.027820000000000067,-0.015084686270009445,-0.8642888585504814,0.313263007384259
1723528336.3265257,1.5999953746795654,-0.007960647848378244,1.3601134800543093,-0.809701,0.12882253193798143,7.3809873862355895,1.5829048486692465,-0.33803325067275836,-0.02551440034354613,0.029565000000000063,-0.014257050521029657,-0.8168688231597907,0.34028157812359255
1723528336.4265246,1.6999943256378174,0.013842362018515075,1.331980846791545,-0.81542,0.12198488531918937,6.989219093176907,1.5618176473602075,-0.31623024080586504,-0.0536470336063104,0.023846000000000034,-0.02109469713982172,-1.2086371162184735,0.32163364427698166
1723528336.5265253,1.799994945526123,0.017349105922136232,1.3235058378313056,-0.831468,0.11410564478781082,6.5377718649605,1.5631083549369964,-0.3127234969022439,-0.06212204256654985,0.007798000000000083,-0.028973937671200267,-1.6600843444348805,0.31892936912646974
