timestamp_relative_s,timestamp_absolute_s,x_error_m,y_error_m,z_error_m,xy_error_m,overall_error_m,yaw_error_deg
0.0066070556640625,1723528213.164583,1.4894368802682258,-1.3383773419373708,-0.10902880483258678,2.0024175712659154,2.005383606694168,4.269757870146369
0.20669817924499512,1723528213.364674,1.4892393969108668,-1.3401226497930576,-0.10888312256205786,2.0034377199703037,2.0063943361609335,4.261206852151663
0.3734421730041504,1723528213.531418,1.4876797544078644,-1.3390152186370161,-0.1088864930355925,2.0015376107924077,2.0044972127149916,4.252974251749874
0.5401849746704102,1723528213.698161,1.4878725368497272,-1.3383423162044072,-0.10901682782312248,2.0012308315771623,2.0041979717591865,4.257681497843663
0.6735801696777344,1723528213.831556,1.4891354681329965,-1.3385224150588402,-0.10858209542030381,2.0022903630759026,2.0052323480116945,4.260507827664514
0.8069751262664795,1723528213.964951,1.4896360487934286,-1.338159048783203,-0.10885105113324872,2.0024198355253238,2.0053762113474063,4.257765267472181
0.940345048904419,1723528214.098321,1.4904204554192366,-1.3374563240473252,-0.10921712334043025,2.0025340328359635,2.005510142755959,4.256611776305298
1.1070470809936523,1723528214.265023,1.491047508356921,-1.3375886921337146,-0.10918979229004784,2.0030891596485074,2.0060629581949088,4.251796639367901
1.2404069900512695,1723528214.398383,1.4887079003285149,-1.3359938673397451,-0.10822598762326116,2.000282686539566,2.0032083492405315,4.2570539108620284
1.4071049690246582,1723528214.565081,1.4902847135232373,-1.3367276067588716,-0.1080378608592239,2.0019463584303,2.00485944679705,4.258203726205913
1.5738019943237305,1723528214.731778,1.4904374144955668,-1.3363479833840255,-0.10836662834260821,2.0018065888648637,2.0047376250674613,4.253777522037745
1.7071590423583984,1723528214.865135,1.4894992493328412,-1.3360558570517045,-0.10893205256559577,2.0009131082896285,2.0038761086956987,4.24944298078947
1.8405141830444336,1723528214.99849,1.4901379410279103,-1.3359627007712946,-0.10895613075666008,2.001326415441277,2.0042901136243962,4.246246147703251
2.0072569847106934,1723528215.165233,1.4900982561011822,-1.3351222034466168,-0.10907948455679306,2.0007358923585925,2.0037071754433353,4.2461670999810535
2.207350969314575,1723528215.365327,1.4899004733143837,-1.3356177418687936,-0.11000346494371897,2.0009193319014935,2.003940851192156,4.24499207640417
2.340747117996216,1723528215.498723,1.4903865129103038,-1.3353447285159472,-0.11030926710415805,2.001099073469443,2.004137130100962,4.2456351697361105
2.507493019104004,1723528215.665469,1.491633652760655,-1.3225561785069633,-0.11607022828066452,1.9935209553338127,1.996897117341843,4.157054575602215
2.674239158630371,1723528215.832215,1.4945175878352814,-1.322207376987639,-0.11593905594631787,1.9954486132470364,1.9988139064963613,4.1574839363904745
