ros_time,wall_time,event,from_source,to_source,reason,pose_jump_m,orientation_jump_deg
0.0,1783154173.6853242,startup,none,none,fusion_node_started,0.0,0.0
1723528216.8043368,1783154190.248742,switch,none,orbslam3,initial_healthy_source,0.0,0.0
1723528219.8332126,1783154193.2754948,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,6.206335383118183e-17,0.0
1723528220.6837156,1783154194.1244185,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,0.2159086342996802,1.5841267126319483
1723528334.8107202,1783154308.2508614,output_gap,fast_livo2,fast_livo2,gap_sec=8.537,0.0,0.0
1723528335.1938186,1783154308.6370432,alignment_invalidated,orbslam3,orbslam3,"orb_unhealthy:camera_unavailable,delayed_pose_timestamp",0.0,0.0
1723528435.3180516,1783154408.7761855,switch,fast_livo2,lvisam,"active_unhealthy_tertiary_fallback:position_discontinuity,unrealistic_velocity",0.0,0.0
1723528435.3571067,1783154408.8034332,output_gap,lvisam,lvisam,gap_sec=119.814,0.0,0.0
1723528435.3671687,1783154408.810715,switch_applied,fast_livo2,lvisam,"active_unhealthy_tertiary_fallback:position_discontinuity,unrealistic_velocity",0.0,0.0
1723528435.4106927,1783154408.8529153,output_gap,lvisam,lvisam,gap_sec=1.008,0.0,0.0
1723528436.4546597,1783154409.89527,output_gap,lvisam,lvisam,gap_sec=1.211,0.0,0.0
1723528437.5272272,1783154410.96743,output_gap,lvisam,lvisam,gap_sec=1.110,0.0,0.0
1723528439.5203836,1783154412.9600601,output_gap,lvisam,lvisam,gap_sec=1.009,0.0,0.0
1723528440.6231196,1783154414.064182,output_gap,lvisam,lvisam,gap_sec=1.110,0.0,0.0
1723528441.7160044,1783154415.1551409,output_gap,lvisam,lvisam,gap_sec=1.008,0.0,0.0
1723528442.6533387,1783154416.0933995,output_gap,lvisam,lvisam,gap_sec=1.211,0.0,0.0
1723528447.6899657,1783154421.1306932,output_gap,lvisam,lvisam,gap_sec=1.210,0.0,0.0
1723528448.7199898,1783154422.1592677,output_gap,lvisam,lvisam,gap_sec=1.110,0.0,0.0
1723528450.0551908,1783154423.49589,output_gap,lvisam,lvisam,gap_sec=1.008,0.0,0.0
1723528451.262541,1783154424.7108712,output_gap,lvisam,lvisam,gap_sec=1.311,0.0,0.0
1723528452.4256105,1783154425.865529,output_gap,lvisam,lvisam,gap_sec=1.211,0.0,0.0
1723528453.6521761,1783154427.092352,output_gap,lvisam,lvisam,gap_sec=1.110,0.0,0.0
1723528459.4449286,1783154432.8889804,output_gap,lvisam,lvisam,gap_sec=4.538,0.0,0.0
1723528459.8648949,1783154433.315603,failure,lvisam,none,both_estimators_unhealthy,0.0,0.0
1723528464.0784981,1783154437.5179105,switch,none,lvisam,initial_healthy_source,0.0,0.0
1723528464.0784981,1783154437.5267024,output_gap,lvisam,lvisam,gap_sec=5.346,0.0,0.0
1723528464.0885718,1783154437.5330598,switch_applied,none,lvisam,initial_healthy_source,0.0,0.0
1723528464.343745,1783154437.7841592,output_gap,lvisam,lvisam,gap_sec=1.110,0.0,0.0
1723528465.3449185,1783154438.785679,output_gap,lvisam,lvisam,gap_sec=1.008,0.0,0.0
1723528466.3510487,1783154439.7922876,output_gap,lvisam,lvisam,gap_sec=1.009,0.0,0.0
1723528467.284043,1783154440.725078,output_gap,lvisam,lvisam,gap_sec=1.009,0.0,0.0
1723528469.3179817,1783154442.7574399,output_gap,lvisam,lvisam,gap_sec=1.009,0.0,0.0
1723528470.2903821,1783154443.7320292,output_gap,lvisam,lvisam,gap_sec=1.009,0.0,0.0
1723528479.3857965,1783154452.8266647,output_gap,lvisam,lvisam,gap_sec=6.657,0.0,0.0
1723528479.7706513,1783154453.2115963,failure,lvisam,none,both_estimators_unhealthy,0.0,0.0
1723528486.0052178,1783154459.446718,switch,none,lvisam,initial_healthy_source,1.4210854715202004e-14,0.0
1723528486.0052178,1783154459.454809,output_gap,lvisam,lvisam,gap_sec=7.968,0.0,0.0
1723528486.0160992,1783154459.4600282,switch_applied,none,lvisam,initial_healthy_source,0.0,0.0
1723528486.0421662,1783154459.4825532,output_gap,lvisam,lvisam,gap_sec=1.008,0.0,0.0
1723528487.1319957,1783154460.573305,output_gap,lvisam,lvisam,gap_sec=1.109,0.0,0.0
1723528488.1335762,1783154461.5727909,output_gap,lvisam,lvisam,gap_sec=1.110,0.0,0.0
1723528489.333054,1783154462.7725892,output_gap,lvisam,lvisam,gap_sec=1.009,0.0,0.0
1723528490.3996544,1783154463.8388357,output_gap,lvisam,lvisam,gap_sec=1.110,0.0,0.0
1723528491.514304,1783154464.9554715,output_gap,lvisam,lvisam,gap_sec=1.109,0.0,0.0
1723528492.7681668,1783154466.2130737,output_gap,lvisam,lvisam,gap_sec=1.109,0.0,0.0
1723528501.5218465,1783154474.961341,output_gap,lvisam,lvisam,gap_sec=5.951,0.0,0.0
1723528501.8912542,1783154475.3304644,failure,lvisam,none,both_estimators_unhealthy,0.0,0.0
1723528513.363969,1783154486.8033383,switch,none,lvisam,initial_healthy_source,0.0,0.0
1723528513.3740396,1783154486.8151457,output_gap,lvisam,lvisam,gap_sec=14.826,0.0,0.0
1723528513.3740396,1783154486.8203535,switch_applied,none,lvisam,initial_healthy_source,0.0,0.0
1723528514.4302657,1783154487.8701112,output_gap,lvisam,lvisam,gap_sec=1.109,0.0,0.0
