key,label,type,sensor,perturbation_type,start,end,x_rmse_m,y_rmse_m,z_rmse_m,yaw_rmse_rad,position_rmse_m,position_max_m,worst_component,samples
01_warmup,01 warmup,straight,,,1621218776.071249,1621218787.571249,0.03845901795503196,2.3861603912239815,0.26667500250380355,0.02669001129472204,2.4013238152462186,9.997408345197819,position_max_m,344
02_left_turn,02 left_turn,turn_left,,,1621218788.071249,1621218791.571249,2.245648487627418,13.69491959092018,0.3982763833866977,1.4295418617988815,13.88352922744488,17.44535005353358,position_max_m,106
03_straight,03 straight,straight,,,1621218791.571249,1621218810.071249,78.48254749994516,17.289600248589924,1.3522609963299823,2.894945240956972,80.37579952099627,129.23944317261163,position_max_m,554
04_stop,04 stop,stop,,,1621218810.071249,1621218846.071249,127.93912344044689,17.58502673208258,2.529626128292744,2.747383093312386,129.16675841805008,129.60044137313892,position_max_m,1078
05_right_turn,05 right_turn,turn_right,,,1621218846.071249,1621218859.571249,135.56635960595474,17.08187527119968,2.401101804102303,2.495862474602841,136.65940732150688,144.83723237921612,position_max_m,382
06_straight,06 straight,straight,,,1621218859.571249,1621218899.071249,132.4829063083068,196.34444896470393,4.500593407604826,1.3593271824805966,236.90318369361222,355.43357898899643,position_max_m,1042
11_straight,11 straight,straight,,,1621218969.071249,1621218978.701249,81.72039600253294,522.8673261732832,3.364620662554048,0.5531160905548241,529.2256461799752,538.8527532380396,position_max_m,178
12_right_turn,12 right_turn,turn_right,,,1621218978.701249,1621218984.391249,49.18159531595229,529.0095442407631,3.1788621068604193,0.5722265485747753,531.3003222095165,538.9926472157905,position_max_m,172
13_straight,13 straight,straight,,,1621218984.391249,1621219025.451249,102.37139959655342,380.50481658366573,3.1061437195250208,1.0720233173900318,394.0475441206714,518.9358501048403,position_max_m,1228
14_stop,14 stop,stop,,,1621219025.451249,1621219041.071249,171.14102960223553,247.56060013460356,1.9403482043806142,1.1442404562410367,300.96389767457634,301.0225986564403,position_max_m,468
15_straight,15 straight,straight,,,1621219041.071249,1621219073.261249,184.84582557646596,227.1720650177997,2.123248504949818,1.1448020828561596,292.8816049903282,300.97685303256804,position_max_m,334
