stamp,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz,algorithm,run_id
1723528213.519966125,-0.00728786834334165,-0.002679979282359402,-0.0006037600570796566,-1.126778199218757e-05,1.3461513749095863e-05,-0.00011025685843352708,0.9999999937676254,-0.0002205140207225745,0.0,0.0,0.0,fast_lio2,0
1723528213.519966125,-0.00728786834334165,-0.002679979282359402,-0.0006037600570796566,-1.126778199218757e-05,1.3461513749095863e-05,-0.00011025685843352708,0.9999999937676254,-0.0002205140207225745,0.0,0.0,0.0,fast_lio2,0
1723528213.620375633,0.0070024575738928735,-0.0023175133069413905,2.9515447741521682e-05,-1.354180863607964e-05,7.875060375698198e-06,-2.1469641257973792e-05,0.9999999996468292,-4.293949580442473e-05,0.0,0.0,0.0,fast_lio2,0
1723528213.620375633,0.0070024575738928735,-0.0023175133069413905,2.9515447741521682e-05,-1.354180863607964e-05,7.875060375698198e-06,-2.1469641257973792e-05,0.9999999996468292,-4.293949580442473e-05,0.0,0.0,0.0,fast_lio2,0
1723528213.721729517,0.00739057678403366,-0.007426510894578868,-0.0025247911989809456,1.0928442939202709e-05,-6.122982045852006e-06,-0.00017053057958320132,0.9999999853812,-0.00034106129464757655,0.0,0.0,0.0,fast_lio2,0
1723528213.721729517,0.00739057678403366,-0.007426510894578868,-0.0025247911989809456,1.0928442939202709e-05,-6.122982045852006e-06,-0.00017053057958320132,0.9999999853812,-0.00034106129464757655,0.0,0.0,0.0,fast_lio2,0
1723528213.822290182,0.002211299753317,-0.008516820856919037,-0.0012117882426482738,-1.0001443737311989e-05,5.001634353890494e-06,2.3784291185714617e-05,0.9999999996546313,4.756848232819092e-05,0.0,0.0,0.0,fast_lio2,0
1723528213.822290182,0.002211299753317,-0.008516820856919037,-0.0012117882426482738,-1.0001443737311989e-05,5.001634353890494e-06,2.3784291185714617e-05,0.9999999996546313,4.756848232819092e-05,0.0,0.0,0.0,fast_lio2,0
1723528213.923316002,-0.0004819234957711756,-0.006130025499491849,-0.0002466906838477973,-1.786474558888126e-05,6.823654508735819e-06,-0.00010782238731535565,0.9999999940043108,-0.00021564501883489492,0.0,0.0,0.0,fast_lio2,0
1723528213.923316002,-0.0004819234957711756,-0.006130025499491849,-0.0002466906838477973,-1.786474558888126e-05,6.823654508735819e-06,-0.00010782238731535565,0.9999999940043108,-0.00021564501883489492,0.0,0.0,0.0,fast_lio2,0
1723528214.024187088,-0.003758399527566355,-0.005909368097000852,-0.0008995720023635141,-4.34954320826092e-06,1.0590180648693927e-05,-0.00016264971267139947,0.999999986707,-0.00032529951895363357,0.0,0.0,0.0,fast_lio2,0
1723528214.024187088,-0.003758399527566355,-0.005909368097000852,-0.0008995720023635141,-4.34954320826092e-06,1.0590180648693927e-05,-0.00016264971267139947,0.999999986707,-0.00032529951895363357,0.0,0.0,0.0,fast_lio2,0
