stamp,time_from_start_s,x_error_m,y_error_m,z_error_m,yaw_error_rad,yaw_error_deg,position_error_m,relative_x_error_m,relative_y_error_m,relative_z_error_m,relative_yaw_error_rad,relative_yaw_error_deg,relative_position_error_m
1723528317.1566029,0.0,-0.5466351680528021,0.769737645232631,-1.066384,-0.01074902774057862,-0.6158739234041981,1.4242474802141625,0.0,0.0,0.0,0.0,0.0,0.0
1723528317.256603,0.10000014305114746,-0.5396041140133292,0.7521515451378562,-1.061057,-0.010990747772662068,-0.6297234610663465,1.4081003174356486,0.007031054039472906,-0.017586100094774793,0.005327000000000082,-0.0002417200320834478,-0.013849537662148411,0.019674439418937126
1723528317.3566031,0.20000028610229492,-0.5369060949621911,0.7769351782059744,-1.0486959999999999,-0.010181157929519458,-0.5833373799176166,1.4112617497677382,0.009729073090610996,0.007197532973343357,0.017688000000000148,0.0005678698110591629,0.03253654348658151,0.02143186151748889
1723528317.456602,0.2999992370605469,-0.5559366113205186,0.8408344974245665,-1.068188,-0.012649982646027345,-0.7247906165311004,1.4687047937586928,-0.009301443267716536,0.07109685219193551,-0.0018039999999999168,-0.0019009549054487245,-0.10891669312690237,0.07172540452632159
1723528317.5566022,0.39999938011169434,-0.547502331288328,0.763885557341176,-1.072986,-0.011060611552733857,-0.6337263608052902,1.4263866599476431,-0.0008671632355259362,-0.005852087891454971,-0.006601999999999997,-0.0003115838121552361,-0.017852437401092068,0.008864835518291451
1723528317.6566007,0.4999978542327881,-0.5521843256092325,0.7694471088955339,-1.075532,-0.008474826834047988,-0.48557180969516706,1.4330825049034053,-0.005549157556430373,-0.0002905363370970804,-0.009147999999999934,0.0022742009065306323,0.13030211370903105,0.010703432391025829
1723528317.7566009,0.5999979972839355,-0.5269543259855425,0.7450181842656036,-1.0616919999999999,-0.009467708339403469,-0.542459729508632,1.3999724495236663,0.01968084206725962,-0.024719460967027373,0.0046920000000001405,0.0012813194011751516,0.07341419389556617,0.03194373426787806
1723528317.8865998,0.729996919631958,-0.5436344934050652,0.745145579945401,-1.060206,-0.008926525689502807,-0.511452247723618,1.4052818792569517,0.0030006746477369006,-0.024592065287230014,0.006178000000000017,0.0018225020510758139,0.10442167568058013,0.02553314331281902
1723528317.8865998,0.729996919631958,-0.5436344934050652,0.745145579945401,-1.060206,-0.008926525689502807,-0.511452247723618,1.4052818792569517,0.0030006746477369006,-0.024592065287230014,0.006178000000000017,0.0018225020510758139,0.10442167568058013,0.02553314331281902
1723528317.9566,0.799997091293335,-0.5712080421438941,0.8403904203846153,-1.049467,-0.011754451109170505,-0.6734804390483392,1.46079282246768,-0.02457287409109199,0.07065277515198432,0.01691700000000007,-0.0010054233685918843,-0.0576065156441411,0.0766930613991482
1723528318.0865984,0.9299955368041992,-0.504090134338341,0.6455055119364204,-1.067222,-0.0032237182563719102,-0.18470545042938316,1.3452683846584468,0.042545033714461056,-0.12423213329621063,-0.0008379999999998944,0.0075253094842067094,0.43116847297481486,0.13131795414600425
1723528318.1965988,1.0399959087371826,-0.5348292551331326,0.701334496803419,-1.081,-0.009204603567765535,-0.527384936524025,1.3951607106540689,0.011805912919669481,-0.06840314842921202,-0.014615999999999962,0.001544424172813086,0.08848898688017313,0.07093657555094994
1723528318.286599,1.1299960613250732,-0.5550707900332839,0.7506200170531443,-1.061896,-0.008547500464040514,-0.4897357019756341,1.4139155232067566,-0.008435621980481756,-0.0191176281794867,0.0044880000000000475,0.0022015272765381066,0.12613822142856398,0.021372542417941093
1723528318.386599,1.2299962043762207,-0.5784441874876336,0.8136367524154835,-1.053523,-0.009942892827089711,-0.5696857951431399,1.4513831866355775,-0.0318090194348315,0.043899107182852504,0.012861000000000011,0.0008061349134889094,0.046188128261058246,0.05571669991893867
1723528318.4865978,1.3299949169158936,-0.5808809955120466,0.7875509108530281,-1.064824,-0.009755712119386084,-0.5589611305854502,1.446205144199294,-0.03424582745924454,0.01781326562039709,0.0015600000000000058,0.0009933156211925365,0.05691279281874797,0.03863318172803229
1723528318.5865982,1.4299952983856201,-0.5800811019608716,0.7797729011423158,-1.064357,-0.009634540109554113,-0.5520184858269604,1.4413173438410583,-0.03344593390806949,0.010035255909684793,0.002027000000000001,0.0011144876310245075,0.06385543757723763,0.034977787024850736
1723528318.6865966,1.5299937725067139,-0.582733588628372,0.7791413274618009,-1.068765,-0.008818090550136715,-0.505239371887028,1.445302137512997,-0.03609842057556989,0.009403682229169874,-0.0023809999999999665,0.001930937190441906,0.1106345515171701,0.03737906323756566
