ros_time,wall_time,event,from_source,to_source,reason,pose_jump_m,orientation_jump_deg
0.0,1782046563.5215356,startup,none,none,fusion_node_started,0.0,0.0
1723528215.6660516,1782046581.4000993,switch,none,fast_livo2,initial_healthy_source,0.0,0.0
1723528377.7649179,1782046905.5985918,failure,fast_livo2,none,both_estimators_unhealthy,0.0,0.0
1723528423.8660166,1782046997.8036873,switch,none,orbslam3,initial_healthy_source,1.8679007483939837e-14,0.0
1723528423.8660166,1782046997.8089375,output_gap,orbslam3,orbslam3,gap_sec=47.580,0.0,0.0
1723528423.871497,1782046997.8141217,switch_applied,none,orbslam3,initial_healthy_source,0.0,0.0
1723528467.0944502,1782047084.2596993,output_gap,orbslam3,orbslam3,gap_sec=11.146,0.0,0.0
1723528467.302501,1782047084.6737363,alignment_invalidated,orbslam3,orbslam3,"orb_unhealthy:camera_unavailable,delayed_pose_timestamp",0.0,0.0
1723528467.302501,1782047084.6790786,failure,orbslam3,none,both_estimators_unhealthy,0.0,0.0
1723528488.4033034,1782047126.8782625,switch,none,orbslam3,initial_healthy_source,0.0,0.0
1723528488.4033034,1782047126.8813949,output_gap,orbslam3,orbslam3,gap_sec=23.893,0.0,0.0
1723528488.4033034,1782047126.8830118,switch_applied,none,orbslam3,initial_healthy_source,0.0,0.0
1723528490.2375371,1782047130.5431342,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,2.842170943040401e-14,0.0
1723528490.6040628,1782047131.2765303,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,1.1659181283054803,0.5066088372777261
